Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,29,26.7,27,2430,90,100,27.0,11.0,84,7.85,3.00,19,5.00,1.41,1.30,1.04,0.26,+0.26,1.39,1.19,0.20,+0.20
Aston Villa,21,25.8,26,2340,90,100,26.0,11.0,87,8.77,2.19,16,5.96,1.54,1.46,1.04,0.42,+0.42,1.49,1.28,0.21,+0.21
Brighton,26,26.3,27,2430,90,100,27.0,11.0,85,8.11,2.81,20,5.22,0.96,1.00,1.30,-0.30,-0.30,1.43,1.01,0.42,+0.42
Burnley,24,29.0,28,2520,90,100,28.0,11.0,86,8.93,2.14,20,6.00,1.07,0.71,1.29,-0.57,-0.57,0.91,1.47,-0.56,-0.56
Chelsea,27,26.7,28,2520,90,100,28.0,11.0,85,8.21,2.79,21,5.29,1.79,1.57,0.89,0.68,+0.68,1.59,0.86,0.73,+0.73
Crystal Palace,22,29.7,28,2520,90,100,28.0,11.0,86,8.43,2.50,17,5.18,1.21,1.07,1.68,-0.61,-0.61,0.79,1.50,-0.71,-0.71
Everton,26,26.9,27,2430,90,100,27.0,11.0,85,8.11,2.81,20,5.15,1.70,1.44,1.30,0.15,+0.15,1.18,1.39,-0.20,-0.20
Fulham,25,25.9,28,2520,90,100,28.0,11.0,85,8.07,2.86,17,5.14,0.93,0.79,1.18,-0.39,-0.39,1.12,1.29,-0.18,-0.18
Leeds United,22,26.7,27,2430,90,100,27.0,11.0,83,8.26,2.78,27,5.26,1.30,1.59,1.70,-0.11,-0.11,1.54,1.66,-0.12,-0.12
Leicester City,26,27.2,28,2520,90,100,28.0,11.0,85,8.36,2.68,21,5.39,1.89,1.71,1.14,0.57,+0.57,1.43,1.23,0.20,+0.20
Liverpool,28,27.6,28,2520,90,100,28.0,11.0,85,8.25,2.75,21,5.32,1.54,1.68,1.29,0.39,+0.39,1.81,1.24,0.57,+0.57
Manchester City,23,26.7,28,2520,90,100,28.0,11.0,86,9.07,1.93,21,6.18,2.32,2.00,0.68,1.32,+1.32,1.90,0.77,1.13,+1.12
Manchester Utd,25,26.4,28,2520,90,100,28.0,11.0,85,8.29,2.68,20,5.46,1.93,1.96,1.14,0.82,+0.82,1.57,1.20,0.38,+0.38
Newcastle Utd,27,27.6,27,2430,90,100,27.0,11.0,85,8.07,2.81,20,5.30,1.00,1.00,1.63,-0.63,-0.63,0.94,1.41,-0.47,-0.47
Sheffield Utd,24,27.2,28,2520,90,100,28.0,11.0,83,8.14,2.82,26,4.71,0.50,0.57,1.61,-1.04,-1.04,0.87,1.50,-0.63,-0.63
Southampton,29,27.4,27,2430,90,100,27.0,11.0,85,8.37,2.56,18,5.48,1.22,1.22,1.63,-0.41,-0.41,0.99,1.29,-0.30,-0.30
Tottenham,24,27.9,27,2430,90,100,27.0,11.0,85,8.04,2.93,20,5.11,1.67,1.70,1.04,0.67,+0.67,1.37,1.17,0.20,+0.20
West Brom,30,27.1,28,2520,90,100,28.0,11.0,84,8.07,2.79,22,5.25,0.64,0.71,2.00,-1.29,-1.29,0.72,1.68,-0.95,-0.96
West Ham,24,28.4,27,2430,90,100,27.0,11.0,86,8.26,2.70,16,5.26,1.78,1.56,1.15,0.41,+0.41,1.39,1.14,0.24,+0.24
Wolves,25,27.0,28,2520,90,100,28.0,11.0,85,8.32,2.71,18,5.25,1.25,1.00,1.32,-0.32,-0.32,1.04,1.17,-0.13,-0.13
