Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,West Ham,30,1987,19.0,1.53,0.05,0.05,0.42,0.05,1.39,0.28,-0.08,-0.08,6.21,18.7,33.2,16.3,1.63,77.0,52.8,6.37,96.7,65.0,11.8,0.74,6.3,0.89,0.89,0.77,Matches
2,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,30,1987,38.0,1.61,0.05,0.05,0.21,0.00,1.44,0.32,-0.17,-0.17,4.68,13.8,34.0,18.2,4.50,50.1,41.9,5.21,88.9,62.8,11.4,0.89,7.8,0.29,0.29,0.35,Matches
3,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,34,1983,2.5,0.40,0.00,0.00,0.00,0.00,0.56,0.29,0.16,+0.17,0.80,2.80,28.6,19.6,3.20,8.2,25.8,1.60,75.0,52.8,5.60,0.00,0.0,1.20,1.20,7.56,Matches
4,Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,24,1993,35.0,1.74,0.14,0.00,0.29,0.06,1.64,0.28,-0.05,-0.05,8.86,22.7,39.0,22.7,2.06,74.4,54.2,6.26,93.2,69.3,12.4,0.97,7.9,0.71,0.71,0.43,Matches
5,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,35,1981,3.0,1.33,0.00,0.00,0.00,0.00,1.10,0.33,-0.23,-0.24,3.67,10.7,34.4,24.7,3.00,33.8,32.2,3.00,77.8,55.2,7.67,0.33,4.3,0.67,0.67,6.17,Matches
6,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,35,1982,33.8,1.42,0.15,0.00,0.24,0.00,1.42,0.34,0.00,0.00,3.99,10.6,37.6,20.7,4.85,39.5,37.9,3.22,76.1,58.3,9.41,1.15,12.3,0.83,0.83,0.47,Matches
7,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Chelsea,25,1992,35.0,0.97,0.06,0.00,0.03,0.06,0.89,0.30,-0.02,-0.02,3.94,11.1,35.6,24.1,4.51,34.2,36.3,4.34,65.1,56.8,9.09,1.11,12.3,0.51,0.51,0.43,Matches
8,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,26,1990,10.0,1.50,0.30,0.00,0.00,0.20,1.58,0.31,0.28,+0.28,6.50,19.7,33.0,21.5,2.60,64.2,48.3,6.60,89.4,63.9,10.7,1.30,12.1,0.60,0.60,1.44,Matches
9,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,28,1989,12.0,0.92,0.00,0.00,0.00,0.00,1.16,0.36,0.24,+0.24,3.67,14.5,25.3,18.3,2.08,52.3,43.1,5.33,92.2,67.3,10.4,1.33,12.8,0.92,0.92,1.32,Matches
10,Ederson\Ederson,br BRA,GK,Manchester City,23,1993,35.5,0.73,0.00,0.03,0.03,0.03,0.64,0.28,-0.07,-0.07,3.15,5.83,54.1,23.9,3.52,18.8,27.9,2.11,62.7,54.7,5.01,0.70,14.0,1.32,1.32,0.54,Matches
