Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,26,1990,24.3,45.9,36.8,9.09,0.86,0.00,7.53,0.86,1.73,0.45,0.00,0.04,0.00,28.1,5.39,12.5,29.5,7.20,1.23,7.78,0.16,34.8,0.12,0.99,0.78,1.52,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,21,1995,1.5,27.3,27.3,0.00,0.00,0.00,6.67,0.67,1.33,0.00,0.00,0.00,0.00,20.7,4.00,2.67,19.3,5.33,1.33,0.00,0.00,18.0,0.67,0.67,1.33,2.00,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,19,1997,19.2,16.1,15.1,0.99,0.00,0.00,5.31,0.36,0.57,0.00,0.00,0.00,0.00,10.5,2.55,3.02,1.25,11.6,1.82,0.05,0.36,10.8,0.00,0.31,0.57,0.73,Matches
4,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,31,1985,4.6,61.1,55.2,5.87,3.04,0.22,12.8,3.70,3.04,1.96,0.00,0.00,0.22,28.7,6.30,26.1,47.0,8.70,3.70,0.87,0.00,36.7,1.09,2.61,1.52,2.39,Matches
5,Adrián\Adrian,es ESP,GK,West Ham,30,1987,19.0,22.6,14.5,8.11,1.74,0.00,2.74,0.95,0.00,0.00,0.00,0.00,0.00,3.53,0.47,18.6,0.79,17.5,0.00,0.00,1.68,9.84,0.16,0.84,0.21,0.00,Matches
6,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,31,1986,1.8,45.0,44.4,0.56,0.00,0.00,13.3,1.11,0.00,0.00,0.00,0.00,0.00,40.0,1.67,3.33,11.7,30.6,2.22,0.56,0.00,38.9,0.00,0.56,0.56,0.56,Matches
7,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,24,1993,6.8,21.3,20.3,1.03,0.00,0.00,6.76,0.00,0.00,0.00,0.00,0.00,0.00,15.0,3.38,2.94,4.85,11.5,1.47,0.00,1.03,15.6,0.00,0.74,0.44,0.59,Matches
8,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,29,1988,21.8,29.7,28.5,1.19,0.00,0.09,7.71,0.18,0.78,0.05,0.00,0.00,0.00,23.9,3.17,2.61,3.53,25.0,0.69,0.14,0.23,24.3,0.14,0.32,0.92,0.92,Matches
9,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,22,1995,37.3,43.3,42.3,1.05,0.78,0.00,5.36,0.59,0.19,0.00,0.00,0.00,0.00,30.8,3.67,8.85,31.8,4.91,5.20,0.27,0.16,35.5,0.05,0.99,0.46,0.56,Matches
10,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,27,1989,28.2,44.7,39.6,5.11,0.96,0.11,7.91,3.37,4.89,2.27,0.57,0.11,0.04,22.9,4.72,17.1,4.29,37.4,0.92,1.77,0.07,26.5,0.28,1.84,1.13,2.52,Matches
11,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,70.5,68.7,1.76,1.07,0.15,7.86,4.81,0.31,0.00,0.00,0.00,0.00,50.1,4.89,15.5,12.1,53.7,3.82,0.69,0.08,59.7,0.00,1.30,0.76,0.38,Matches
12,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,17.5,71.8,61.7,10.1,0.57,0.06,14.6,1.77,3.83,0.63,0.00,0.00,0.00,40.6,8.86,22.3,5.14,55.3,2.23,8.91,0.06,52.4,0.23,2.57,1.89,2.57,Matches
13,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,27,1990,34.9,39.1,38.1,1.00,0.34,0.06,8.62,0.52,0.63,0.26,0.06,0.00,0.00,28.3,4.13,6.68,6.82,27.9,3.61,0.03,0.26,30.9,0.14,0.77,0.92,1.32,Matches
14,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,21,1996,32.9,38.2,37.1,1.09,0.27,0.21,9.24,0.70,0.70,0.12,0.00,0.00,0.00,28.5,4.62,5.02,2.83,32.8,1.46,0.52,0.21,29.5,0.15,0.61,1.00,1.82,Matches
