Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,26,1990,24.3,1.69,1.69,0.95,0.45,0.16,0.04,0.04,0.04,0.12,0.12,0.08,0.00,0.04,0.00,0.00,0.00,0.00,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,21,1995,1.5,0.67,0.66,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,19,1997,19.2,1.67,1.68,1.04,0.00,0.31,0.16,0.10,0.05,0.10,0.10,0.05,0.00,0.00,0.05,0.00,0.00,0.00,Matches
4,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,31,1985,4.6,4.35,4.42,1.96,0.65,0.43,0.43,0.65,0.22,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Adrián\Adrian,es ESP,GK,West Ham,30,1987,19.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,31,1986,1.8,0.56,0.55,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,24,1993,6.8,1.18,1.35,0.74,0.00,0.15,0.15,0.15,0.00,0.15,0.17,0.00,0.00,0.00,0.00,0.15,0.00,0.00,Matches
8,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,29,1988,21.8,3.49,3.47,2.61,0.00,0.32,0.32,0.14,0.09,0.50,0.50,0.41,0.00,0.05,0.00,0.00,0.05,0.00,Matches
9,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,22,1995,37.3,0.56,0.56,0.46,0.00,0.03,0.00,0.05,0.03,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,Matches
10,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,27,1989,28.2,2.30,2.30,1.67,0.50,0.07,0.04,0.04,0.00,0.46,0.46,0.43,0.04,0.00,0.00,0.00,0.00,0.00,Matches
11,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,1.30,1.30,0.99,0.00,0.15,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
12,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,17.5,2.23,2.23,1.66,0.40,0.06,0.11,0.00,0.00,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,Matches
13,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,27,1990,34.9,2.01,2.01,1.55,0.14,0.03,0.03,0.09,0.17,0.32,0.32,0.17,0.03,0.00,0.00,0.06,0.06,0.00,Matches
14,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,21,1996,32.9,3.92,3.91,2.86,0.03,0.21,0.21,0.52,0.09,0.61,0.61,0.43,0.00,0.00,0.12,0.06,0.00,0.00,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,26,1990,31.7,2.37,2.36,1.89,0.09,0.09,0.19,0.06,0.03,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,Matches
16,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,22,1994,5.4,0.19,0.18,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
17,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,16,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
18,Nordin Amrabat\Nordin-Amrabat,ma MAR,FW,Watford,30,1987,2.2,1.82,1.80,1.36,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,27,1990,15.0,2.07,2.05,1.20,0.07,0.20,0.07,0.53,0.00,0.20,0.20,0.00,0.00,0.07,0.07,0.07,0.00,0.00,Matches
20,Scott Arfield\Scott-Arfield,ca CAN,FWMF,Burnley,28,1988,14.8,1.28,1.28,0.81,0.00,0.14,0.14,0.20,0.00,0.20,0.20,0.07,0.00,0.07,0.00,0.07,0.00,0.00,Matches
21,Marko Arnautović\Marko-Arnautovic,at AUT,FWMF,West Ham,28,1989,25.7,2.45,2.44,1.63,0.08,0.35,0.19,0.19,0.00,0.47,0.47,0.27,0.00,0.08,0.12,0.00,0.00,0.00,Matches
22,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,27,1989,10.7,1.59,1.59,1.21,0.19,0.00,0.00,0.00,0.19,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.09,0.00,Matches
23,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,25,1992,19.8,2.37,2.37,1.82,0.05,0.25,0.05,0.20,0.00,0.25,0.25,0.15,0.00,0.05,0.05,0.00,0.00,0.00,Matches
24,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,28,1989,11.7,2.14,2.13,1.79,0.00,0.09,0.17,0.09,0.00,0.68,0.68,0.51,0.00,0.00,0.09,0.09,0.00,0.00,Matches
25,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,24,1992,15.9,2.14,2.14,1.70,0.06,0.13,0.19,0.06,0.00,0.25,0.25,0.06,0.00,0.06,0.06,0.06,0.00,0.00,Matches
26,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,28,1989,11.5,1.65,1.66,1.13,0.00,0.17,0.26,0.09,0.00,0.17,0.17,0.09,0.00,0.00,0.09,0.00,0.00,0.00,Matches
27,André Ayew\Andre-Ayew,gh GHA,FWMF,Swansea City,27,1989,10.6,1.98,1.99,1.51,0.09,0.09,0.19,0.09,0.00,0.38,0.38,0.19,0.00,0.00,0.09,0.09,0.00,0.00,Matches
28,André Ayew\Andre-Ayew,gh GHA,FWMF,West Ham,27,1989,9.9,1.31,1.31,0.71,0.00,0.40,0.00,0.20,0.00,0.40,0.40,0.30,0.00,0.10,0.00,0.00,0.00,0.00,Matches
29,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Swansea City,25,1991,31.7,2.08,2.08,0.95,0.03,0.41,0.25,0.35,0.09,0.13,0.13,0.03,0.00,0.03,0.06,0.00,0.00,0.00,Matches
30,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,27,1989,37.0,1.59,1.59,1.49,0.03,0.00,0.05,0.00,0.03,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,Matches
31,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,23,1994,11.1,0.27,0.27,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
32,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,32,1984,21.2,2.03,2.03,1.51,0.47,0.05,0.00,0.00,0.00,0.28,0.28,0.19,0.05,0.05,0.00,0.00,0.00,0.00,Matches
33,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Chelsea,22,1994,23.6,1.74,1.74,1.40,0.00,0.04,0.13,0.04,0.13,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,Matches
34,Sam Baldock\Sam-Baldock,eng ENG,FWMF,Brighton,28,1989,0.4,2.50,3.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Beni Baningime\Beni-Baningime,cd COD,MF,Everton,18,1998,2.2,0.45,0.47,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,32,1985,12.5,1.44,1.44,1.20,0.08,0.08,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
37,Ross Barkley\Ross-Barkley,eng ENG,MFFW,Chelsea,23,1993,1.4,3.57,3.44,2.86,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,27,1989,24.1,1.99,2.00,1.37,0.00,0.17,0.08,0.37,0.00,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.00,Matches
39,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,19,1997,0.1,10.0,12.86,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
40,Gareth Barry\Gareth-Barry,eng ENG,MF,West Brom,36,1981,21.4,1.54,1.54,1.17,0.19,0.00,0.00,0.19,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,Matches
41,Kyle Bartley\Kyle-Bartley,eng ENG,DF,Swansea City,26,1991,2.6,0.77,0.77,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,23,1993,4.0,2.75,2.80,2.00,0.00,0.50,0.25,0.00,0.00,0.50,0.51,0.50,0.00,0.00,0.00,0.00,0.00,0.00,Matches
43,Moritz Bauer\Moritz-Bauer,at AUT,DFMF,Stoke City,25,1992,14.5,1.38,1.38,1.17,0.14,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,21,1996,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
45,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,30,1987,38.0,0.11,0.11,0.08,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,Héctor Bellerín\Hector-Bellerin,es ESP,DFMF,Arsenal,22,1995,33.9,2.39,2.39,2.24,0.00,0.06,0.03,0.06,0.00,0.24,0.24,0.21,0.00,0.00,0.03,0.00,0.00,0.00,Matches
47,Yohan Benalouane\Yohan-Benalouane,tn TUN,DF,Leicester City,30,1987,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
48,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,26,1990,24.9,2.37,2.37,1.65,0.00,0.12,0.28,0.32,0.00,0.48,0.48,0.32,0.00,0.00,0.04,0.12,0.00,0.00,Matches
49,Saido Berahino\Saido-Berahino,bi BDI,FW,Stoke City,23,1993,5.5,1.45,1.48,1.09,0.00,0.00,0.18,0.18,0.00,0.18,0.19,0.18,0.00,0.00,0.00,0.00,0.00,0.00,Matches
50,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,26,1990,31.5,3.37,3.36,1.37,1.30,0.13,0.29,0.22,0.06,0.29,0.29,0.16,0.06,0.00,0.06,0.00,0.00,0.00,Matches
51,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,27,1989,34.8,1.90,1.89,1.47,0.23,0.09,0.09,0.03,0.00,0.23,0.23,0.17,0.03,0.00,0.03,0.00,0.00,0.00,Matches
52,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Everton,24,1992,0.5,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
