Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arsenal,30,38.0,639.1,605.7,33.3,7.29,0.45,91.7,16.4,12.0,5.34,0.45,0.34,0.18,476.1,57.7,105.2,249.5,330.8,29.2,15.1,6.87,529.8,2.11,9.55,13.1,14.0
Bournemouth,22,38.0,457.8,416.2,41.6,10.2,0.47,85.1,12.0,13.2,5.37,0.24,0.26,0.08,294.6,50.2,112.9,139.9,252.4,31.0,18.2,7.13,341.8,1.29,11.5,10.3,13.8
Brighton,24,38.0,419.2,380.3,38.8,7.42,0.24,82.7,18.4,11.6,4.18,0.08,0.13,0.39,250.1,45.0,124.1,98.4,254.0,32.4,17.8,5.82,306.1,2.29,12.3,8.34,11.3
Burnley,24,38.0,397.5,355.2,42.3,10.5,0.16,69.6,13.4,11.8,4.21,0.21,0.21,0.08,206.2,38.8,152.4,108.8,210.1,42.9,18.6,5.50,270.8,2.24,14.0,7.11,11.7
Chelsea,26,38.0,586.3,551.5,34.9,7.95,0.66,88.1,16.9,14.6,5.26,0.39,0.53,0.03,424.3,55.7,106.3,120.0,411.3,25.3,15.4,6.84,481.5,2.47,8.97,10.9,14.0
Crystal Palace,28,38.0,411.8,370.5,41.3,9.26,0.24,85.7,12.3,12.7,5.37,0.24,0.18,0.24,250.8,40.8,120.2,117.6,231.3,28.5,18.2,4.84,301.1,1.26,12.5,8.47,11.8
Everton,30,38.0,429.1,387.8,41.3,9.24,0.45,71.3,14.1,11.3,3.87,0.29,0.32,0.03,246.2,53.8,129.0,86.4,271.9,34.4,18.9,5.47,309.7,1.89,12.8,8.21,12.4
Huddersfield,25,38.0,429.9,387.3,42.6,9.34,0.32,78.0,11.5,12.7,4.16,0.42,0.18,0.18,255.1,50.4,124.4,95.9,262.3,33.9,20.9,4.11,307.9,1.39,13.1,8.66,13.2
Leicester City,27,38.0,434.2,391.9,42.3,8.58,0.45,76.1,16.3,13.8,5.16,0.82,0.16,0.05,252.9,48.2,133.1,114.7,245.8,37.9,20.1,4.55,312.6,1.89,14.3,8.63,12.0
Liverpool,27,38.0,636.2,600.2,36.0,6.13,0.82,99.6,16.8,13.8,5.76,0.47,0.29,0.05,460.8,57.8,117.6,164.0,406.9,32.7,19.2,6.50,520.6,1.68,10.9,12.1,13.7
Manchester City,25,38.0,763.7,731.4,32.2,6.79,0.97,104.9,16.3,15.3,6.61,0.13,0.45,0.18,623.5,48.3,91.9,244.6,466.7,25.7,15.1,5.68,666.7,1.50,10.6,12.8,14.7
Manchester Utd,27,38.0,561.4,524.2,37.2,7.95,0.47,80.9,14.9,14.8,5.45,0.32,0.37,0.00,404.3,44.9,112.2,163.2,341.8,26.5,16.8,5.00,455.7,1.97,8.68,11.3,13.6
Newcastle Utd,27,38.0,398.0,357.9,40.1,9.11,0.18,65.0,11.2,10.9,4.21,0.16,0.29,0.00,227.2,45.2,125.6,132.0,197.8,33.0,18.2,5.18,281.7,1.42,11.4,7.53,11.6
Southampton,26,38.0,490.9,448.8,42.1,8.00,0.82,76.0,17.3,15.4,5.84,0.55,0.29,0.13,309.9,49.2,131.8,136.9,284.3,36.7,19.8,4.79,369.3,1.66,13.6,8.84,12.7
Stoke City,30,38.0,370.4,329.5,40.9,9.16,0.39,75.5,11.2,10.6,3.47,0.16,0.16,0.05,200.3,40.5,129.6,110.0,184.2,38.7,19.4,4.55,257.0,1.89,11.7,7.13,11.3
Swansea City,26,38.0,444.3,404.7,39.6,9.32,0.11,90.0,14.9,12.1,3.74,0.21,0.13,0.13,286.7,41.4,116.1,127.4,258.0,25.9,17.9,4.50,337.8,0.82,10.7,8.55,11.8
Tottenham,25,38.0,606.2,565.0,41.2,8.71,0.58,100.9,16.9,15.2,6.24,0.55,0.63,0.32,433.1,63.2,109.8,195.9,345.9,30.3,20.8,5.79,492.6,1.95,9.71,11.4,15.1
Watford,29,38.0,448.5,405.9,42.6,10.2,0.29,87.2,13.9,14.6,4.71,0.26,0.16,0.00,267.6,48.7,132.2,90.3,286.1,36.3,21.0,4.95,325.7,1.63,11.6,9.95,12.9
West Brom,24,38.0,380.6,340.9,39.8,8.66,0.42,66.6,12.6,13.6,4.42,0.71,0.13,0.00,205.1,43.7,131.8,129.2,184.5,35.3,18.4,4.26,267.1,1.89,11.7,6.82,12.1
West Ham,27,38.0,414.8,372.6,42.2,9.95,0.18,74.4,13.0,12.8,4.11,0.53,0.13,0.00,242.6,44.7,127.5,109.4,237.0,32.5,19.4,4.74,302.1,2.18,10.1,8.21,12.2
