Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,30,26.8,38,3420,90,100,38.0,11.0,,,2.66,0,4.34,1.66,1.95,1.34,0.61,+0.61,1.66,1.31,0.35,+0.35
Bournemouth,22,26.9,38,3420,90,100,38.0,11.0,,,2.87,0,4.13,1.16,1.18,1.61,-0.42,-0.42,1.12,1.54,-0.42,-0.42
Brighton,24,27.5,38,3420,90,100,38.0,11.0,,,2.66,0,4.34,1.05,0.89,1.42,-0.53,-0.53,0.96,1.31,-0.35,-0.35
Burnley,24,27.5,38,3420,90,100,38.0,11.0,,,2.18,0,4.82,1.42,0.95,1.03,-0.08,-0.08,0.91,1.27,-0.36,-0.36
Chelsea,26,26.7,38,3420,90,100,38.0,11.0,,,2.87,0,4.13,1.84,1.63,1.00,0.63,+0.63,1.47,0.86,0.61,+0.60
Crystal Palace,28,27.1,38,3420,90,100,38.0,11.0,,,1.92,0,5.03,1.16,1.18,1.45,-0.26,-0.26,1.39,1.25,0.15,+0.15
Everton,30,26.7,38,3420,90,100,38.0,11.0,,,3.00,0,4.00,1.29,1.16,1.53,-0.37,-0.37,1.04,1.32,-0.28,-0.28
Huddersfield,25,26.4,38,3420,90,100,38.0,11.0,,,2.95,0,4.05,0.97,0.74,1.53,-0.79,-0.79,0.86,1.41,-0.56,-0.56
Leicester City,27,27.2,38,3420,90,100,38.0,11.0,,,2.82,0,4.18,1.24,1.47,1.58,-0.11,-0.11,1.20,1.28,-0.07,-0.07
Liverpool,27,25.6,38,3420,90,100,38.0,11.0,,,2.92,0,4.08,1.97,2.21,1.00,1.21,+1.21,1.85,0.88,0.98,+0.98
Manchester City,25,26.4,38,3420,90,100,38.0,11.0,,,2.79,0,4.16,2.63,2.79,0.71,2.08,+2.08,2.11,0.61,1.50,+1.50
Manchester Utd,27,26.7,38,3420,90,100,38.0,11.0,,,2.92,0,4.08,2.13,1.79,0.74,1.05,+1.05,1.50,1.04,0.46,+0.46
Newcastle Utd,27,25.6,38,3420,90,100,38.0,11.0,,,2.95,0,4.05,1.16,1.03,1.24,-0.21,-0.21,1.12,1.35,-0.23,-0.23
Southampton,26,26.2,38,3420,90,100,38.0,11.0,,,2.97,0,4.03,0.95,0.97,1.47,-0.50,-0.50,1.06,1.20,-0.14,-0.15
Stoke City,30,27.5,38,3420,90,100,38.0,11.0,,,2.42,0,4.58,0.87,0.92,1.79,-0.87,-0.87,0.98,1.57,-0.59,-0.60
Swansea City,26,27.2,38,3420,90,100,38.0,11.0,,,2.87,0,4.13,0.87,0.74,1.47,-0.74,-0.74,0.80,1.54,-0.74,-0.74
Tottenham,25,25.8,38,3420,90,100,38.0,11.0,,,2.84,0,4.13,2.03,1.95,0.95,1.00,+1.00,1.76,0.87,0.89,+0.89
Watford,29,27.9,38,3420,90,100,38.0,11.0,,,2.92,0,4.08,1.08,1.16,1.68,-0.53,-0.53,1.18,1.46,-0.28,-0.28
West Brom,24,29.1,38,3420,90,100,38.0,11.0,,,2.84,0,4.13,0.82,0.82,1.47,-0.66,-0.66,0.91,1.26,-0.35,-0.35
West Ham,27,28.0,38,3420,90,100,38.0,11.0,,,2.55,0,4.39,1.11,1.26,1.79,-0.53,-0.53,0.98,1.52,-0.54,-0.54
