Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38,38,3420,38.0,0.58,0.58,2.53,1.95,77.1,0.79,0.18,0.03,0.55,55.3,0.03,0.00,0.00,0.03,,Matches
2,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,36,3240,36.0,1.08,1.08,3.25,2.17,67.5,0.56,0.22,0.22,0.39,38.9,0.06,0.03,0.03,0.00,50.0,Matches
3,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24,24,2160,24.0,1.96,1.96,4.21,2.42,55.4,0.33,0.13,0.54,0.21,20.8,0.08,0.08,0.00,0.00,0.0,Matches
4,Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7,7,630,7.0,2.86,2.86,5.43,2.71,50.0,0.14,0.29,0.57,0.00,0.0,0.43,0.14,0.14,0.14,50.0,Matches
5,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,38,1980,12,12,1080,12.0,1.50,1.50,4.33,3.00,71.2,0.33,0.25,0.42,0.33,33.3,0.25,0.25,0.00,0.00,0.0,Matches
6,David Button\David-Button,eng ENG,GK,Brighton,29,1989,4,4,360,4.0,1.25,1.25,3.75,3.00,80.0,0.25,0.25,0.50,0.25,25.0,0.50,0.50,0.00,0.00,0.0,Matches
7,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,36,1981,2,2,180,2.0,0.00,0.00,1.50,1.50,100.0,0.50,0.50,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,Matches
8,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,36,1982,7,7,585,6.5,1.38,1.38,5.54,4.15,75.0,0.77,0.00,0.31,0.31,28.6,0.00,0.00,0.00,0.00,,Matches
9,Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,22,1995,1,1,90,1.0,1.00,1.00,3.00,1.00,66.7,0.00,1.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
10,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,29,1989,38,38,3420,38.0,1.26,1.26,3.55,2.47,68.9,0.32,0.24,0.45,0.29,28.9,0.16,0.16,0.00,0.00,0.0,Matches
11,Ederson\Ederson,br BRA,GK,Manchester City,24,1993,38,38,3420,38.0,0.61,0.61,2.00,1.50,75.0,0.84,0.05,0.11,0.53,52.6,0.11,0.11,0.00,0.00,0.0,Matches
12,Neil Etheridge\Neil-Etheridge,ph PHI,GK,Cardiff City,28,1990,38,38,3420,38.0,1.82,1.82,5.29,3.55,67.7,0.26,0.11,0.63,0.26,26.3,0.18,0.11,0.08,0.00,42.9,Matches
13,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,33,1985,38,38,3420,38.0,1.45,1.45,5.03,3.66,73.3,0.39,0.18,0.42,0.18,18.4,0.13,0.11,0.03,0.00,20.0,Matches
14,Fabricio\Fabricio,es ESP,GK,Fulham,30,1987,2,2,180,2.0,2.50,2.50,11.5,9.00,78.3,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
15,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,30,1988,1,1,90,1.0,3.00,3.00,6.00,3.00,50.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
16,Ben Foster\Ben-Foster,eng ENG,GK,Watford,35,1983,38,38,3420,38.0,1.55,1.55,4.55,3.11,68.2,0.37,0.21,0.42,0.18,18.4,0.13,0.11,0.03,0.00,20.0,Matches
17,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,26,1992,3,3,270,3.0,0.67,0.67,4.33,3.67,84.6,0.67,0.00,0.33,0.33,33.3,0.00,0.00,0.00,0.00,,Matches
18,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,27,1990,38,38,3420,38.0,1.42,1.42,4.45,3.26,71.6,0.50,0.24,0.26,0.18,18.4,0.16,0.16,0.00,0.00,0.0,Matches
19,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,31,1987,20,20,1755,19.5,1.18,1.18,4.21,3.08,73.2,0.51,0.21,0.31,0.36,35.0,0.05,0.05,0.00,0.00,0.0,Matches
20,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,22,1996,12,12,1080,12.0,1.50,1.50,4.00,2.50,62.5,0.33,0.33,0.33,0.25,25.0,0.08,0.00,0.08,0.00,100.0,Matches
21,Ben Hamer\Ben-Hamer,eng ENG,GK,Huddersfield,30,1987,7,7,553,6.1,3.44,3.42,6.07,3.28,51.4,0.00,0.16,0.98,0.16,14.3,0.49,0.49,0.00,0.00,0.0,Matches
22,Joe Hart\Joe-Hart,eng ENG,GK,Burnley,31,1987,19,19,1710,19.0,2.16,2.16,6.16,4.11,65.8,0.16,0.16,0.68,0.21,21.1,0.11,0.05,0.05,0.00,50.0,Matches
23,Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,32,1986,19,19,1710,19.0,1.42,1.42,4.32,3.11,68.3,0.42,0.21,0.37,0.21,21.1,0.05,0.05,0.00,0.00,0.0,Matches
24,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,31,1987,18,17,1575,17.5,1.49,1.49,3.71,2.40,64.6,0.23,0.17,0.57,0.29,29.4,0.23,0.17,0.06,0.00,25.0,Matches
25,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,26,1992,32,31,2835,31.5,1.33,1.33,4.41,3.33,74.8,0.51,0.22,0.25,0.22,22.6,0.22,0.22,0.00,0.00,0.0,Matches
26,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,31,1986,33,33,2970,33.0,1.00,1.00,3.70,2.85,75.4,0.64,0.06,0.30,0.36,36.4,0.15,0.09,0.06,0.00,40.0,Matches
27,Jonas Lössl\Jonas-Lossl,dk DEN,GK,Huddersfield,29,1989,31,30,2777,30.9,1.75,1.75,4.43,2.82,63.5,0.10,0.16,0.71,0.16,16.7,0.16,0.13,0.03,0.00,20.0,Matches
28,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,28,1989,25,25,2250,25.0,1.76,1.76,4.64,3.08,63.8,0.20,0.32,0.48,0.16,16.0,0.08,0.08,0.00,0.00,0.0,Matches
29,Will Norris\Will-Norris,eng ENG,GK,Wolves,24,1993,1,0,,0.0,0,,0,0,,0,0,0,1,,0,0,0,0,,Matches
30,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,30,1988,37,37,3330,37.0,1.24,1.24,3.73,2.65,68.8,0.41,0.24,0.35,0.22,21.6,0.11,0.08,0.00,0.03,0.0,Matches
31,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,24,1994,38,38,3420,38.0,1.21,1.21,3.37,2.26,65.6,0.39,0.24,0.37,0.37,36.8,0.13,0.05,0.08,0.00,60.0,Matches
