Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,35.5,44.7,55.3,80.9,756.4,334.0,22.3,25.7,86.8,17.5,21.2,82.8,4.20,6.99,60.1,0.06,0.11,-0.05,0.96,3.24,1.77,0.25,6.31,Matches
2,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,27.3,24.4,28.8,84.7,338.6,61.8,14.4,16.3,88.3,8.24,9.60,85.9,0.73,1.21,60.6,0.29,0.20,0.09,1.25,1.36,1.61,0.04,2.34,Matches
3,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,37.9,38.8,44.9,86.4,795.3,288.0,12.0,13.5,88.8,21.0,23.0,91.3,5.59,7.81,71.6,0.00,0.02,-0.02,0.13,2.43,0.18,0.08,1.87,Matches
4,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,18.1,25.4,42.9,59.1,493.5,199.1,12.4,15.7,78.6,7.96,12.3,64.9,4.42,11.4,38.6,0.11,0.17,-0.06,1.66,2.65,1.60,0.66,4.59,Matches
5,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,32.5,63.6,72.1,88.3,1551.6,461.1,13.3,14.2,93.1,34.6,36.6,94.4,15.7,20.8,75.5,0.00,0.02,-0.02,0.22,5.94,0.71,0.03,3.91,Matches
6,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,27.4,60.0,80.8,74.3,1275.1,498.5,21.0,24.1,87.0,27.8,34.2,81.5,10.7,20.4,52.3,0.44,0.23,0.21,1.75,4.71,2.15,0.91,7.19,Matches
7,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38.0,27.3,33.2,82.3,797.8,441.1,2.89,2.95,98.2,15.0,15.3,97.9,9.39,14.9,63.2,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,Matches
8,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,20.3,41.5,51.7,80.3,685.4,165.4,20.3,23.8,85.5,17.0,20.1,84.6,3.05,4.93,62.0,0.15,0.12,0.03,1.38,3.99,1.58,0.10,4.73,Matches
9,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,8.4,22.4,31.0,72.3,395.2,102.7,10.8,13.0,83.5,7.98,10.4,77.0,3.10,4.76,65.0,0.00,0.10,-0.10,1.43,1.90,1.67,1.07,2.26,Matches
10,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,30.7,59.9,72.5,82.6,955.2,321.6,32.1,34.9,91.9,23.2,27.9,83.1,3.71,7.30,50.9,0.13,0.13,0.00,1.01,3.71,0.75,0.29,4.20,Matches
11,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,23,1994,7.1,49.9,61.0,81.8,938.7,414.5,20.7,22.8,90.7,22.8,26.9,84.8,6.06,10.6,57.3,0.00,0.03,-0.03,0.42,4.37,0.00,0.00,4.37,Matches
12,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,21,1997,0.0,1,2,50.0,13,3,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
13,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,25,1993,33.8,39.3,53.8,73.0,676.0,229.3,19.9,23.9,82.9,13.1,17.0,76.9,4.82,9.17,52.6,0.12,0.20,-0.08,1.78,3.22,2.63,0.38,5.53,Matches
14,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,25,1993,9.8,12.4,18.4,67.8,170.1,22.0,6.53,9.29,70.3,4.49,6.22,72.1,0.41,0.92,44.4,0.00,0.01,-0.01,0.20,0.41,0.20,0.10,0.51,Matches
15,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,28,1990,23.4,21.9,33.2,66.0,349.4,98.6,12.2,15.3,80.1,7.35,11.3,64.9,1.75,4.53,38.7,0.17,0.15,0.03,0.85,1.84,0.81,0.34,2.52,Matches
16,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,26,1992,15.9,31.3,41.0,76.4,529.6,136.0,15.1,18.6,81.4,12.5,14.6,85.8,2.96,4.65,63.5,0.13,0.09,0.04,1.76,2.45,1.64,0.13,4.09,Matches
17,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,29,1989,22.1,22.4,29.6,75.7,344.0,61.5,13.3,16.6,80.4,6.56,8.51,77.1,1.63,2.22,73.5,0.18,0.16,0.02,1.49,0.95,0.77,0.09,1.90,Matches
18,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36.0,27.1,31.6,85.7,754.3,414.5,4.06,4.11,98.6,13.9,14.2,98.2,9.00,13.2,68.2,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.03,Matches
19,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,28,1989,22.2,24.1,31.0,77.5,440.1,126.6,10.8,12.9,83.6,9.77,11.6,84.1,3.02,5.36,56.3,0.05,0.03,0.01,0.54,2.61,0.90,0.18,3.29,Matches
20,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,26,1992,16.6,20.2,27.3,73.8,312.8,69.9,11.4,13.3,85.9,6.02,8.55,70.4,2.05,3.61,56.7,0.00,0.07,-0.07,0.84,1.39,1.02,0.30,1.57,Matches
21,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,29,1989,30.3,17.4,24.5,70.9,241.7,62.2,10.8,13.9,77.4,5.18,7.46,69.5,0.83,1.58,52.1,0.17,0.14,0.03,1.09,0.92,1.09,0.13,2.05,Matches
