Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,35.5,1.30,0.90,0.90,0.31,0.08,0.51,1.27,40.0,0.76,11.9,3.24,27.3,8.45,2.42,0.99,1.72,0.28,0.00,1.44,1.01,2.31,2.76,0.03,Matches
2,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,27.3,0.62,0.51,0.11,0.22,0.29,0.15,0.37,40.0,0.22,16.9,4.51,26.6,0.95,5.64,10.3,0.81,0.22,0.00,0.59,0.26,0.88,0.04,0.00,Matches
3,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,37.9,1.58,0.98,1.11,0.40,0.08,0.45,0.92,48.6,0.47,10.4,3.06,29.4,7.41,2.69,0.32,1.85,0.98,0.05,0.87,0.71,2.30,6.25,0.00,Matches
4,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,18.1,2.04,1.27,0.88,0.83,0.33,0.66,2.38,27.9,1.71,21.7,5.58,25.7,7.79,9.17,4.75,1.66,0.17,0.00,1.49,1.27,3.31,1.05,0.00,Matches
5,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,32.5,1.26,0.71,0.98,0.28,0.00,0.28,0.89,31.0,0.62,6.62,2.34,35.3,4.31,2.00,0.31,1.66,0.80,0.03,0.86,0.62,1.88,4.98,0.03,Matches
6,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,27.4,2.08,1.02,1.06,0.77,0.26,0.91,2.66,34.2,1.75,13.4,4.38,32.6,6.46,4.60,2.37,1.28,0.11,0.04,1.17,1.20,3.28,2.37,0.04,Matches
7,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38.0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.0,0.05,0.05,0.00,0.0,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,Matches
8,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,20.3,1.58,1.28,0.39,0.64,0.54,0.30,1.28,23.1,0.99,23.2,6.26,27.0,5.86,10.7,6.55,1.77,0.20,0.05,1.58,0.79,2.36,0.74,0.00,Matches
9,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,8.4,2.02,1.31,0.71,1.07,0.24,0.36,1.31,27.3,0.95,27.5,7.26,26.4,5.12,15.5,6.90,1.90,0.24,0.00,1.67,0.48,2.50,0.60,0.00,Matches
10,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,30.7,2.18,1.24,1.30,0.62,0.26,0.59,1.73,34.0,1.14,17.3,4.92,28.4,9.28,5.31,2.70,1.95,0.13,0.00,1.82,1.01,3.19,2.80,0.03,Matches
11,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,23,1994,7.1,2.25,1.13,1.55,0.70,0.00,0.70,1.69,41.7,0.99,12.1,4.93,40.7,8.17,3.38,0.56,1.97,0.56,0.00,1.41,1.55,3.80,2.54,0.00,Matches
12,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,21,1997,0.0,1,1,0,1,0,0,0,,0,2,2,100.0,0,2,0,0,0,0,0,0,1,0,0,Matches
13,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,25,1993,33.8,2.25,1.30,0.86,1.09,0.30,0.68,2.96,23.0,2.28,22.2,5.09,22.9,7.49,10.7,4.05,1.98,0.00,0.00,1.98,1.12,3.37,0.30,0.00,Matches
14,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,25,1993,9.8,1.12,0.92,0.31,0.41,0.41,0.10,1.12,9.1,1.02,24.6,4.80,19.5,3.57,9.69,11.3,0.92,0.10,0.00,0.82,0.10,1.22,1.12,0.00,Matches
15,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,28,1990,23.4,1.32,0.94,0.56,0.43,0.34,0.43,0.77,55.6,0.34,16.9,3.59,21.3,4.87,7.09,4.91,2.22,0.17,0.00,2.05,0.56,1.88,1.24,0.00,Matches
