Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,28,38.0,1.92,0.05,0.03,10.9,12.1,2.45,12.3,7.89,10.3,0.11,0.16,0.05,89.6,11.0,12.7,46.4
Bournemouth,28,38.0,1.58,0.03,0.00,9.00,11.6,1.53,12.1,7.29,7.97,0.21,0.13,0.08,93.9,13.8,13.9,49.9
Brighton,21,38.0,1.61,0.11,0.03,12.3,8.11,2.42,11.0,8.21,11.4,0.11,0.24,0.00,92.1,15.3,14.5,51.4
Burnley,23,38.0,1.97,0.03,0.00,9.61,9.42,2.84,11.7,8.26,9.00,0.03,0.08,0.11,98.1,18.6,19.7,48.5
Cardiff City,25,38.0,1.74,0.03,0.00,10.0,10.4,2.11,10.4,10.1,10.6,0.05,0.16,0.00,99.9,19.6,19.4,50.2
Chelsea,24,38.0,1.29,0.00,0.00,8.97,11.2,2.18,12.9,7.63,10.8,0.13,0.05,0.00,95.0,9.89,9.26,51.6
Crystal Palace,26,38.0,1.53,0.05,0.03,10.3,10.4,2.16,10.3,9.63,12.0,0.24,0.13,0.03,94.2,13.9,15.0,48.1
Everton,23,38.0,1.47,0.11,0.03,11.5,11.1,1.87,13.7,9.71,11.9,0.11,0.11,0.05,104.1,18.1,17.4,51.0
Fulham,28,38.0,1.84,0.05,0.05,11.3,9.03,2.39,10.1,9.74,10.5,0.05,0.16,0.05,96.5,14.2,13.8,50.8
Huddersfield,31,38.0,1.47,0.11,0.03,11.2,10.0,1.68,13.5,11.8,11.4,0.03,0.21,0.03,101.9,16.4,16.1,50.4
Leicester City,25,38.0,1.58,0.13,0.08,9.45,10.0,1.89,12.9,9.71,11.7,0.16,0.13,0.00,98.2,15.7,12.4,55.9
Liverpool,23,38.0,1.03,0.05,0.05,8.45,9.18,2.16,13.2,7.87,10.2,0.18,0.03,0.00,102.6,12.2,11.3,51.7
Manchester City,21,38.0,1.16,0.03,0.00,8.76,7.95,2.68,15.9,7.55,9.26,0.11,0.11,0.00,92.5,10.6,9.55,52.5
Manchester Utd,28,38.0,1.97,0.11,0.05,11.5,10.5,2.37,12.0,8.32,9.45,0.26,0.16,0.08,91.6,14.1,10.2,58.1
Newcastle Utd,24,38.0,1.50,0.05,0.00,11.2,8.84,1.55,11.3,11.3,11.1,0.05,0.16,0.03,99.7,14.1,18.8,42.8
Southampton,30,38.0,1.92,0.08,0.05,11.3,8.97,1.63,10.8,10.8,11.9,0.11,0.08,0.08,100.8,14.5,17.5,45.3
Tottenham,28,38.0,1.50,0.08,0.03,9.95,9.63,1.95,11.9,7.29,10.6,0.08,0.13,0.08,97.5,11.9,12.2,49.5
Watford,25,38.0,2.08,0.11,0.03,11.5,10.1,2.37,10.8,8.71,11.2,0.03,0.11,0.08,100.5,14.9,16.4,47.6
West Ham,26,38.0,1.55,0.03,0.00,8.89,10.3,1.92,11.0,10.2,11.7,0.13,0.13,0.03,90.3,11.7,11.3,50.9
Wolves,21,38.0,1.92,0.03,0.00,10.8,8.76,1.95,11.8,9.47,10.7,0.08,0.11,0.11,95.6,15.7,14.7,51.5
