Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,0.00,0.00,0.00,0.32,0.29,0.07,1.58,0.82,1.15,0.00,0.00,0.04,8.71,0.43,0.61,41.4,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,0.19,0.00,0.00,0.81,1.36,0.08,1.50,0.56,1.00,0.03,0.00,0.00,7.81,0.64,1.17,35.4,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,0.08,0.00,0.00,0.69,0.98,0.93,0.41,0.20,0.41,0.04,0.00,0.04,3.86,2.72,4.47,37.9,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,0.00,0.00,0.00,1.38,1.30,0.81,0.98,0.24,0.49,0.08,0.00,0.00,5.93,2.36,6.99,25.2,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,0.10,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.85,0.00,0.00,,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,0.06,0.00,0.00,0.56,0.56,0.37,0.50,0.12,0.31,0.12,0.00,0.00,3.79,0.12,0.87,12.5,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,0.00,0.00,0.00,4.00,0.00,1.33,0.00,0.67,0.00,0.00,0.00,0.00,2.67,0.67,6.00,10.0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,0.07,0.00,0.00,0.32,0.47,0.11,0.07,0.97,0.40,0.00,0.00,0.00,8.88,2.30,2.09,52.5,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,0.21,0.00,0.00,0.83,1.15,0.10,5.10,0.94,1.15,0.00,0.10,0.00,9.38,0.21,0.52,28.6,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,0.21,0.00,0.00,0.55,0.12,0.03,0.24,0.33,0.73,0.00,0.00,0.03,9.79,2.31,1.64,58.5,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,0.14,0.00,0.00,0.62,0.25,0.08,5.18,0.96,0.71,0.00,0.00,0.00,9.97,0.40,0.91,30.4,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,0.00,0.04,0.00,0.04,0.04,0.00,0.00,0.04,0.00,0.00,0.00,0.00,5.41,0.00,0.00,,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,0.10,0.00,0.00,0.59,1.61,0.29,0.24,0.34,1.41,0.00,0.00,0.00,7.66,0.83,1.56,34.7,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,33.6,0.15,0.00,0.00,0.89,1.73,0.71,1.13,0.60,1.07,0.00,0.00,0.00,6.79,0.27,1.10,19.6,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,15.9,0.25,0.00,0.00,1.01,0.94,0.13,3.21,0.88,1.19,0.06,0.00,0.00,11.5,2.64,1.95,57.5,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,0.08,0.00,0.00,1.29,1.36,0.23,0.83,0.76,1.74,0.00,0.00,0.00,10.4,1.06,0.83,56.0,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,0.12,0.00,0.00,0.95,0.24,0.00,0.12,1.31,0.83,0.00,0.12,0.00,8.93,1.79,1.67,51.7,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,0.06,0.00,0.00,1.02,1.39,0.12,1.93,0.84,1.81,0.00,0.00,0.00,8.13,0.24,1.45,14.3,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,0.00,1.25,0.00,2.50,3.75,0.00,1.25,0.00,2.50,0.00,0.00,0.00,8.75,2.50,3.75,40.0,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,0.21,0.00,0.00,0.43,0.43,0.00,6.38,1.06,1.06,0.00,0.00,0.00,10.4,1.70,1.70,50.0,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,19.6,0.15,0.00,0.00,2.04,1.79,0.61,2.65,0.41,0.51,0.00,0.00,0.00,4.85,3.88,5.87,39.8,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,19.1,0.21,0.00,0.00,1.36,1.05,0.21,0.73,0.47,1.31,0.00,0.00,0.00,8.85,0.52,1.52,25.6,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.18,0.00,0.00,,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,0.24,0.00,0.00,1.33,1.20,0.48,1.81,0.84,1.08,0.00,0.00,0.00,6.02,0.84,1.45,36.8,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,0.09,0.03,0.00,0.40,0.57,0.57,2.41,0.26,0.69,0.00,0.00,0.00,3.59,1.06,1.70,38.5,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,30.0,0.13,0.03,0.03,1.33,0.73,0.20,3.27,0.97,1.83,0.00,0.07,0.03,10.7,2.23,2.23,50.0,Matches
