Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,65.9,3.48,19.0,31.6,19.0,1.79,52.3,0.65,1.29,50.0,0.65,0.07,35.8,190.3,105.2,5.66,1.65,0.43,0.75,0.57,38.7,35.6,92.1,2.04,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,59.3,4.94,22.3,25.1,16.5,1.44,50.6,1.36,2.61,52.1,1.53,0.06,36.7,219.8,121.8,5.67,1.56,0.64,1.08,1.33,38.9,34.6,88.9,1.92,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,30.0,1.26,2.40,14.4,14.3,6.71,28.0,0.85,1.46,58.3,0.89,0.00,17.4,66.1,33.6,2.07,0.49,0.57,2.89,1.91,43.7,20.1,46.0,9.23,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,35.9,0.81,2.85,16.6,19.1,5.53,35.2,1.22,2.20,55.6,1.22,0.08,25.0,109.6,52.0,3.01,1.22,0.89,3.58,2.36,53.4,25.6,47.9,12.0,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,34.8,31.0,34.8,0.00,0.00,0.00,25.2,0.00,0.00,,0.00,0.00,16.8,66.1,36.6,0.00,0.00,0.00,0.00,0.00,16.0,15.9,99.4,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,35.5,0.12,1.30,13.0,23.8,9.57,34.2,1.68,2.80,60.0,1.74,0.12,26.6,109.2,55.3,4.04,1.24,0.99,1.49,2.55,48.4,28.0,57.7,11.2,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,22.0,0.00,0.67,6.00,16.0,6.00,21.3,0.00,0.00,,0.00,0.00,10.7,28.0,5.33,0.00,0.00,0.00,3.33,2.00,42.7,16.0,37.5,8.00,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,54.2,9.96,33.2,21.4,3.09,1.22,52.3,0.18,0.18,100.0,0.18,0.00,30.4,185.5,103.2,1.69,0.29,0.00,0.25,0.18,34.1,32.4,94.9,0.90,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,64.8,1.35,11.6,26.9,30.4,2.40,61.1,1.04,3.02,34.5,1.35,0.21,43.8,222.3,102.0,5.21,1.35,0.52,0.94,1.25,51.5,44.6,86.6,6.15,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,68.8,10.8,37.3,31.5,3.47,0.67,66.4,0.00,0.06,0.0,0.00,0.00,41.4,197.3,92.6,2.43,0.61,0.00,0.09,0.06,46.7,45.6,97.7,0.58,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,99.7,3.00,24.1,46.5,35.2,1.78,81.2,0.74,1.59,46.4,0.85,0.11,59.7,240.5,145.3,6.94,2.61,0.34,1.02,0.62,66.9,63.2,94.4,3.31,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,34.8,28.4,34.5,0.32,0.00,0.00,26.9,0.00,0.00,,0.00,0.00,19.4,74.7,38.5,0.00,0.00,0.00,0.04,0.00,17.5,17.3,99.2,0.00,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,55.2,1.80,8.34,28.0,23.0,4.68,52.5,1.56,3.07,50.8,1.76,0.34,36.4,181.7,96.7,5.07,2.10,0.78,2.20,2.73,53.8,37.7,70.1,9.71,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,33.6,39.0,1.31,9.38,16.5,17.9,2.71,38.6,1.37,2.77,49.5,1.61,0.15,29.0,211.7,115.4,4.79,1.76,0.54,1.79,1.61,38.1,26.6,69.8,5.80,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,15.9,82.6,1.89,20.5,35.5,32.1,4.53,72.1,0.75,1.19,63.2,0.75,0.00,52.9,284.2,163.3,8.68,2.33,0.57,1.26,1.38,58.4,52.1,89.3,6.60,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,63.5,2.35,16.4,30.8,20.6,3.33,59.6,2.50,3.79,66.0,2.65,0.30,46.8,243.8,133.1,7.58,2.05,0.76,1.52,2.12,48.3,42.2,87.3,3.86,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,56.0,12.9,39.2,16.9,1.67,0.48,55.2,0.24,0.36,66.7,0.24,0.00,30.1,118.0,56.4,0.60,0.12,0.00,0.12,0.12,35.4,34.4,97.3,0.24,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,70.1,1.57,10.0,37.1,31.0,3.98,68.6,3.98,5.84,68.0,4.22,0.30,56.1,352.8,213.1,9.28,3.92,1.33,1.99,2.11,62.8,53.6,85.3,7.65,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,36.3,3.75,5.00,15.0,20.0,8.75,35.0,2.50,5.00,50.0,2.50,0.00,21.3,103.8,52.5,2.50,0.00,0.00,6.25,2.50,41.3,20.0,48.5,5.00,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,101.5,3.40,21.1,42.3,45.5,2.13,91.3,1.06,1.70,62.5,1.06,0.43,68.3,312.6,190.2,11.5,4.68,0.00,0.64,0.85,76.8,73.0,95.0,5.32,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,60.0,0.00,5.00,25.0,30.0,10.0,60.0,5.00,5.00,100.0,5.00,0.00,50.0,300.0,170.0,5.00,0.00,5.00,0.00,5.00,55.0,40.0,72.7,0.00,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,19.6,43.4,0.61,2.40,15.6,28.4,6.38,41.3,3.62,5.46,66.4,3.78,0.15,30.7,132.8,78.2,4.18,1.02,1.17,3.62,2.50,57.9,31.9,55.2,12.0,Matches
