Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,29,25.8,54.0,38,418,3420,38.0,1.47,0.92,1.39,0.08,0.08,2.32,0.13,1.47,0.92,2.39,1.39,2.32,1.29,1.23,0.79,2.02,1.30,0.79,2.08,1.24,2.02
Aston Villa,28,25.7,43.9,38,418,3420,38.0,1.05,0.84,1.03,0.03,0.08,1.84,0.03,1.05,0.84,1.89,1.03,1.87,1.06,0.99,0.80,1.79,1.05,0.80,1.85,0.99,1.79
Bournemouth,27,25.2,43.8,38,418,3420,38.0,1.00,0.63,0.89,0.11,0.11,2.05,0.08,1.00,0.63,1.63,0.89,1.53,1.12,1.04,0.72,1.76,1.12,0.72,1.84,1.04,1.76
Brighton,25,26.4,52.2,38,418,3420,38.0,0.92,0.63,0.89,0.03,0.05,1.55,0.05,0.92,0.63,1.55,0.89,1.53,1.08,1.04,0.70,1.74,1.08,0.70,1.78,1.04,1.74
Burnley,22,28.0,41.4,38,418,3420,38.0,1.08,0.79,1.00,0.08,0.08,1.76,0.00,1.08,0.79,1.87,1.00,1.79,1.16,1.09,0.72,1.81,1.15,0.72,1.87,1.09,1.81
Chelsea,27,25.5,60.7,38,418,3420,38.0,1.82,1.21,1.63,0.18,0.18,1.58,0.00,1.82,1.21,3.03,1.63,2.84,1.75,1.62,1.22,2.84,1.75,1.22,2.97,1.62,2.84
Crystal Palace,25,29.4,44.5,38,418,3420,38.0,0.76,0.53,0.68,0.08,0.08,1.63,0.05,0.76,0.53,1.29,0.68,1.21,0.89,0.84,0.62,1.46,0.90,0.62,1.52,0.84,1.46
Everton,24,25.5,49.2,38,418,3420,38.0,1.11,0.84,1.08,0.03,0.03,2.00,0.08,1.11,0.84,1.95,1.08,1.92,1.30,1.28,0.81,2.09,1.30,0.81,2.11,1.28,2.09
Leicester City,24,26.1,57.6,38,418,3420,38.0,1.71,1.26,1.58,0.13,0.18,1.13,0.08,1.71,1.26,2.97,1.58,2.84,1.62,1.48,1.16,2.64,1.62,1.16,2.78,1.48,2.64
Liverpool,24,26.6,63.4,38,418,3420,38.0,2.18,1.82,2.05,0.13,0.13,1.00,0.03,2.18,1.82,4.00,2.05,3.87,1.88,1.78,1.36,3.14,1.88,1.36,3.25,1.78,3.15
Manchester City,24,26.9,66.9,38,418,3420,38.0,2.63,1.82,2.47,0.16,0.29,1.68,0.11,2.63,1.82,4.45,2.47,4.29,2.45,2.23,1.74,3.97,2.45,1.74,4.19,2.23,3.97
Manchester Utd,29,24.8,56.2,38,418,3420,38.0,1.71,1.13,1.45,0.26,0.37,1.92,0.00,1.71,1.13,2.84,1.45,2.58,1.56,1.28,0.97,2.26,1.56,0.97,2.54,1.28,2.26
Newcastle Utd,28,26.5,38.6,38,418,3420,38.0,1.00,0.76,1.00,0.00,0.03,1.74,0.08,1.00,0.76,1.76,1.00,1.76,0.87,0.85,0.61,1.46,0.87,0.61,1.48,0.85,1.46
Norwich City,30,26.0,49.3,38,418,3420,38.0,0.66,0.47,0.61,0.05,0.05,1.79,0.08,0.66,0.47,1.13,0.61,1.08,1.00,0.96,0.69,1.65,1.00,0.69,1.69,0.96,1.65
Sheffield Utd,26,26.9,43.1,38,418,3420,38.0,0.95,0.66,0.92,0.03,0.03,1.66,0.05,0.95,0.66,1.61,0.92,1.58,1.09,1.07,0.83,1.90,1.09,0.83,1.92,1.07,1.90
Southampton,25,25.9,49.3,38,418,3420,38.0,1.34,0.84,1.29,0.05,0.13,1.45,0.11,1.34,0.84,2.18,1.29,2.13,1.42,1.32,0.83,2.14,1.42,0.83,2.25,1.32,2.14
Tottenham,29,26.7,52.2,38,418,3420,38.0,1.47,1.03,1.39,0.08,0.11,2.21,0.08,1.47,1.03,2.50,1.39,2.42,1.21,1.13,0.81,1.94,1.21,0.81,2.02,1.13,1.94
Watford,26,28.9,42.5,38,418,3420,38.0,0.92,0.55,0.74,0.18,0.21,2.11,0.08,0.92,0.55,1.47,0.74,1.29,1.19,1.03,0.74,1.77,1.19,0.74,1.93,1.03,1.77
West Ham,29,27.4,44.0,38,418,3420,38.0,1.29,0.95,1.18,0.11,0.11,1.68,0.03,1.29,0.95,2.24,1.18,2.13,1.22,1.14,0.84,1.97,1.22,0.84,2.05,1.14,1.97
Wolves,21,26.6,48.3,38,418,3420,38.0,1.29,0.89,1.18,0.11,0.11,1.61,0.05,1.29,0.89,2.18,1.18,2.08,1.24,1.16,0.85,2.01,1.24,0.85,2.09,1.16,2.01
