Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,29,38.0,1.47,10.6,3.79,35.9,10.55,3.79,0.13,0.37,15.9,0.50,0.08,0.08,1.29,1.23,0.12,0.18,0.16
Aston Villa,28,38.0,1.05,11.9,3.84,32.2,11.92,3.84,0.09,0.27,16.9,0.45,0.03,0.08,1.06,0.99,0.08,-0.00,0.03
Bournemouth,27,38.0,1.00,10.1,3.05,30.2,10.11,3.05,0.09,0.29,16.4,0.55,0.11,0.11,1.12,1.04,0.10,-0.12,-0.15
Brighton,25,38.0,0.92,12.0,3.61,30.0,12.00,3.61,0.07,0.25,17.1,0.29,0.03,0.05,1.08,1.04,0.09,-0.16,-0.15
Burnley,22,38.0,1.08,10.1,3.26,32.3,10.11,3.26,0.10,0.31,15.7,0.45,0.08,0.08,1.16,1.09,0.11,-0.08,-0.09
Chelsea,27,38.0,1.82,16.3,5.53,33.9,16.29,5.53,0.10,0.30,16.2,0.71,0.18,0.18,1.75,1.62,0.10,0.06,0.01
Crystal Palace,25,38.0,0.76,9.79,3.05,31.2,9.79,3.05,0.07,0.22,16.5,0.39,0.08,0.08,0.89,0.84,0.09,-0.13,-0.16
Everton,24,38.0,1.11,12.2,4.08,33.3,12.24,4.08,0.09,0.26,15.7,0.53,0.03,0.03,1.30,1.28,0.11,-0.19,-0.20
Leicester City,24,38.0,1.71,14.0,4.76,34.0,14.03,4.76,0.11,0.33,16.7,0.53,0.13,0.18,1.62,1.48,0.11,0.09,0.10
Liverpool,24,38.0,2.18,15.4,5.84,37.9,15.39,5.84,0.13,0.35,16.1,0.47,0.13,0.13,1.88,1.78,0.12,0.30,0.27
Manchester City,24,38.0,2.63,19.2,6.47,33.7,19.21,6.47,0.13,0.38,15.8,0.71,0.16,0.29,2.45,2.23,0.12,0.18,0.25
Manchester Utd,29,38.0,1.71,13.9,5.26,37.9,13.89,5.26,0.10,0.28,18.5,0.87,0.26,0.37,1.56,1.28,0.09,0.15,0.16
Newcastle Utd,28,38.0,1.00,10.4,3.34,32.0,10.45,3.34,0.10,0.30,18.5,0.37,0.00,0.03,0.87,0.85,0.08,0.13,0.15
Norwich City,30,38.0,0.66,10.8,3.26,30.3,10.76,3.26,0.06,0.19,17.4,0.42,0.05,0.05,1.00,0.96,0.09,-0.34,-0.36
Sheffield Utd,26,38.0,0.95,9.29,2.87,30.9,9.29,2.87,0.10,0.32,14.7,0.11,0.03,0.03,1.09,1.07,0.12,-0.14,-0.15
Southampton,25,38.0,1.34,13.1,4.45,34.0,13.08,4.45,0.10,0.29,17.4,0.71,0.05,0.13,1.42,1.32,0.10,-0.08,-0.03
Tottenham,29,38.0,1.47,11.6,4.08,35.3,11.55,4.08,0.12,0.34,17.8,0.55,0.08,0.11,1.21,1.13,0.10,0.26,0.26
Watford,26,38.0,0.92,10.8,3.00,27.8,10.79,3.00,0.07,0.25,16.5,0.47,0.18,0.21,1.19,1.03,0.10,-0.27,-0.29
West Ham,29,38.0,1.29,10.9,4.13,37.9,10.89,4.13,0.11,0.29,15.6,0.34,0.11,0.11,1.22,1.14,0.11,0.07,0.05
Wolves,21,38.0,1.29,11.9,3.74,31.3,11.92,3.74,0.10,0.32,16.9,0.32,0.11,0.11,1.24,1.16,0.10,0.05,0.02
