Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Arsenal,29,54.0,38.0,636.7,77.1,226.9,302.8,149.8,24.5,589.2,11.3,18.7,60.2,12.0,0.89,429.2,2286.6,1281.7,50.5,13.2,4.50,11.8,11.9,496.1,430.2,86.7,39.1
Aston Villa,28,43.9,38.0,521.8,72.9,192.6,223.0,140.2,20.6,471.1,9.68,15.4,63.0,10.6,0.66,304.1,1740.5,910.0,37.3,12.3,3.37,10.8,11.3,370.7,303.4,81.8,36.3
Bournemouth,27,43.8,38.0,544.4,72.1,204.8,228.7,141.7,21.9,496.8,9.47,17.0,55.7,10.4,0.74,320.7,1684.5,870.2,32.1,9.71,3.26,13.7,11.6,386.4,314.3,81.3,36.1
Brighton,25,52.2,38.0,633.3,75.8,231.8,278.3,162.8,23.1,587.5,9.50,15.8,60.3,10.0,0.55,410.8,2171.1,1121.2,42.6,13.3,3.71,12.5,13.5,486.3,413.1,84.9,42.5
Burnley,22,41.4,38.0,492.2,62.3,158.1,231.0,127.1,17.2,444.3,7.13,12.4,57.3,7.71,0.47,259.2,1276.1,613.0,23.9,8.32,1.61,10.7,9.34,337.4,261.2,77.4,31.2
Chelsea,27,60.7,38.0,767.7,65.5,232.7,375.2,207.9,31.5,720.6,12.3,18.9,64.9,13.1,0.39,539.7,2710.6,1462.4,62.2,16.4,6.42,12.5,12.6,621.0,543.8,87.6,49.1
Crystal Palace,25,44.5,38.0,547.3,65.7,193.2,251.1,134.9,23.8,496.3,11.8,18.8,62.7,12.5,0.63,326.0,1625.7,844.3,33.6,10.2,4.39,13.4,14.6,389.4,319.5,82.0,36.4
Everton,24,49.2,38.0,574.9,71.1,200.0,261.6,146.8,23.4,526.5,10.3,16.7,61.7,11.3,0.82,348.6,1825.6,954.4,37.4,11.4,3.53,12.9,12.4,422.2,348.4,82.5,43.2
Leicester City,24,57.6,38.0,680.7,61.8,212.9,329.0,178.7,26.3,632.4,10.8,17.8,60.6,11.7,0.58,444.4,2212.7,1180.6,47.4,14.3,5.34,12.3,12.6,526.7,456.0,86.6,43.4
Liverpool,24,63.4,38.0,773.1,57.4,199.9,397.6,222.6,34.7,724.3,11.6,18.9,61.1,12.7,0.71,529.4,2512.8,1350.4,58.9,17.9,5.47,12.6,11.2,632.1,549.7,87.0,56.6
Manchester City,24,66.9,38.0,830.4,58.5,192.1,430.7,264.1,42.8,789.6,14.2,21.4,66.3,14.9,0.61,602.4,3091.1,1806.0,84.0,21.8,7.89,8.74,10.4,703.7,638.6,90.7,59.9
Manchester Utd,29,56.2,38.0,675.7,61.2,197.4,331.6,192.7,25.9,628.4,12.5,20.5,60.9,13.3,1.03,460.0,2489.0,1422.0,59.5,17.5,5.61,11.9,12.6,527.9,461.6,87.5,46.3
Newcastle Utd,28,38.6,38.0,492.6,66.0,201.2,204.6,113.8,15.6,447.3,11.2,17.3,65.1,12.0,0.47,283.2,1424.9,740.2,26.6,8.53,3.03,11.9,10.7,341.7,276.3,80.9,28.9
Norwich City,30,49.3,38.0,605.8,86.3,245.8,262.8,135.3,19.2,558.8,11.9,19.3,61.6,12.7,0.89,381.3,1998.6,1058.8,40.2,11.7,4.50,12.6,12.3,453.4,384.5,84.8,31.2
Sheffield Utd,26,43.1,38.0,547.1,60.9,167.7,235.5,170.4,21.6,500.4,9.58,14.2,67.4,10.2,0.58,315.5,1513.8,754.7,31.8,9.84,3.03,11.0,9.79,395.7,317.2,80.1,37.1
Southampton,25,49.3,38.0,579.7,58.5,174.2,278.1,159.1,23.5,528.9,11.9,19.4,61.4,12.9,0.61,329.8,1643.7,852.2,35.8,11.2,4.18,13.5,11.3,405.8,328.4,80.9,38.7
Tottenham,29,52.2,38.0,640.7,70.0,209.0,310.9,159.9,21.3,594.0,12.3,21.2,58.1,13.4,0.87,413.0,2096.9,1116.6,47.6,14.1,4.21,10.8,12.4,488.3,415.6,85.1,39.2
Watford,26,42.5,38.0,525.2,59.4,170.1,238.4,143.7,23.1,478.4,9.45,16.2,58.3,10.0,0.39,305.0,1443.6,765.9,31.4,9.50,3.82,11.8,10.8,370.3,294.9,79.6,35.4
West Ham,29,44.0,38.0,548.0,60.2,170.4,262.2,146.8,21.7,500.5,10.7,17.0,62.9,11.3,0.61,329.4,1745.1,878.8,35.5,11.5,4.08,10.5,10.7,403.0,326.0,80.9,36.6
Wolves,21,48.3,38.0,589.0,55.4,192.0,287.7,143.6,22.1,543.1,13.7,21.6,63.3,14.8,0.84,371.4,1854.7,1059.0,43.3,11.8,5.58,11.7,11.9,439.6,370.3,84.2,36.6
