Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,29,27.0,457.0,551.6,82.9,8802.0,2411.8,179.3,201.7,88.9,209.1,233.8,89.5,62.0,98.4,63.0,0.96,0.90,0.06,8.07,32.6,9.30,2.00,35.3
Aston Villa,21,26.0,338.6,442.2,76.6,6953.4,2476.1,128.5,150.4,85.5,144.8,171.0,84.7,57.6,102.6,56.2,1.12,1.05,0.06,10.7,29.0,9.27,2.19,33.0
Brighton,26,27.0,403.6,509.0,79.3,8200.0,2549.7,148.3,172.5,86.0,184.6,212.4,86.9,64.7,107.1,60.4,0.59,0.90,-0.30,9.48,29.3,10.6,2.89,34.1
Burnley,24,28.0,282.3,397.5,71.0,5856.4,2263.1,115.2,136.4,84.5,104.1,131.4,79.3,54.9,110.8,49.5,0.36,0.61,-0.25,6.32,22.2,6.82,2.29,23.9
Chelsea,27,28.0,572.1,666.7,85.8,10959.3,3087.8,229.1,252.3,90.8,258.8,284.5,91.0,75.1,108.8,69.1,1.00,1.01,-0.01,11.1,39.1,9.79,2.18,41.2
Crystal Palace,22,28.0,310.0,407.6,76.0,5835.7,2231.5,137.1,160.1,85.6,123.2,148.0,83.3,42.4,81.6,52.0,0.75,0.55,0.20,6.39,20.7,6.50,1.64,26.3
Everton,26,27.0,394.3,490.5,80.4,7966.7,2582.9,149.7,170.6,87.7,174.0,198.2,87.8,62.5,101.7,61.4,0.96,0.79,0.17,7.11,25.4,6.59,1.63,27.6
Fulham,25,28.0,406.4,504.3,80.6,8083.6,2585.5,154.2,174.5,88.3,182.7,207.9,87.9,62.0,102.5,60.5,0.54,0.76,-0.23,9.25,27.1,8.18,2.71,31.1
Leeds United,22,27.0,452.8,561.0,80.7,8933.7,2876.2,173.0,197.3,87.7,205.2,233.4,87.9,67.6,109.1,61.9,1.15,1.13,0.02,10.8,32.3,10.6,2.56,40.7
Leicester City,26,28.0,421.8,524.3,80.4,8018.5,2486.8,174.4,198.8,87.7,184.8,211.5,87.4,55.8,95.0,58.7,1.07,0.80,0.28,8.39,28.6,7.57,1.43,31.6
Liverpool,28,28.0,589.9,698.5,84.5,11581.0,3358.8,228.0,253.1,90.1,267.9,296.0,90.5,85.1,127.1,67.0,0.96,1.18,-0.21,10.7,48.4,14.5,2.46,51.8
Manchester City,23,28.0,630.5,715.6,88.1,11790.5,3061.4,265.9,288.3,92.2,276.2,299.4,92.2,78.4,106.1,73.9,1.32,1.34,-0.02,11.6,49.3,11.8,1.21,44.0
Manchester Utd,25,28.0,484.3,578.1,83.8,8977.5,2712.1,213.2,236.6,90.1,202.8,227.9,89.0,60.3,91.6,65.8,1.32,1.02,0.30,10.4,36.2,10.0,1.61,39.8
Newcastle Utd,27,27.0,278.9,378.1,73.7,5703.3,2044.9,112.8,131.8,85.6,113.0,136.8,82.6,48.2,93.5,51.5,0.63,0.64,-0.01,7.07,18.9,5.93,1.85,20.7
Sheffield Utd,24,28.0,314.2,417.9,75.2,6148.4,2211.9,137.6,158.6,86.7,122.9,148.7,82.7,47.0,93.2,50.4,0.39,0.63,-0.24,6.68,26.9,7.29,1.54,27.6
Southampton,29,27.0,395.1,505.8,78.1,7183.7,2369.5,175.3,199.7,87.8,169.5,197.1,86.0,42.6,87.2,48.8,0.85,0.66,0.20,6.93,23.5,6.93,0.93,28.6
Tottenham,24,27.0,418.3,517.1,80.9,8024.2,2517.2,174.4,197.6,88.3,176.0,202.7,86.8,59.6,98.2,60.7,1.44,0.99,0.45,7.89,29.0,6.81,1.44,30.6
West Brom,30,28.0,266.8,371.2,71.9,5345.6,2028.8,110.4,129.5,85.2,107.3,134.8,79.6,43.8,92.4,47.4,0.39,0.44,-0.04,5.57,21.6,5.32,1.82,23.0
West Ham,24,27.0,316.4,417.5,75.8,6411.3,2370.2,128.1,150.3,85.3,129.0,156.1,82.6,53.7,95.2,56.5,1.07,0.92,0.16,8.33,23.6,6.44,2.63,25.2
Wolves,25,28.0,387.6,477.1,81.2,7737.5,2404.6,153.2,171.3,89.4,163.1,187.2,87.1,64.5,100.2,64.4,0.54,0.69,-0.15,8.93,25.8,5.39,2.29,25.8
