Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,26,1990,28,25,2184,24.3,0.21,0.04,0.21,0.00,0.00,0.29,0.00,0.21,0.04,0.25,0.21,0.25,0.13,0.13,0.06,0.19,0.13,0.06,0.19,0.13,0.19,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,21,1995,4,1,139,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,0.10,0.00,0.10,0.10,0.10,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,19,1997,31,15,1726,19.2,0.26,0.05,0.26,0.00,0.00,0.00,0.00,0.26,0.05,0.31,0.26,0.31,0.33,0.33,0.04,0.36,0.33,0.04,0.37,0.33,0.37,Matches
4,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,31,1985,11,5,411,4.6,0.00,0.00,0.00,0.00,0.22,0.43,0.22,0.00,0.00,0.00,0.00,0.00,0.30,0.15,0.28,0.41,0.32,0.28,0.59,0.15,0.43,Matches
5,Adrián\Adrian,es ESP,GK,West Ham,30,1987,19,19,1710,19.0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,31,1986,6,1,166,1.8,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,24,1993,17,5,611,6.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.01,0.22,0.24,0.01,0.25,0.24,0.25,Matches
8,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,29,1988,25,22,1963,21.8,0.96,0.28,0.78,0.18,0.18,0.09,0.00,0.96,0.28,1.24,0.78,1.05,0.76,0.62,0.27,0.89,0.76,0.27,1.03,0.62,0.89,Matches
9,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,22,1995,38,37,3353,37.3,0.05,0.08,0.05,0.00,0.00,0.13,0.00,0.05,0.08,0.13,0.05,0.13,0.06,0.06,0.05,0.11,0.06,0.05,0.11,0.06,0.11,Matches
10,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,27,1989,34,30,2538,28.2,0.07,0.25,0.07,0.00,0.00,0.18,0.04,0.07,0.25,0.32,0.07,0.32,0.05,0.05,0.17,0.22,0.05,0.17,0.22,0.05,0.22,Matches
11,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,28,1989,14,13,1178,13.1,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.02,0.07,0.05,0.02,0.07,0.05,0.07,Matches
12,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,19,18,1573,17.5,0.06,0.06,0.06,0.00,0.00,0.17,0.00,0.06,0.06,0.11,0.06,0.11,0.06,0.06,0.12,0.18,0.06,0.12,0.18,0.06,0.18,Matches
13,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,27,1990,36,36,3139,34.9,0.06,0.17,0.06,0.00,0.00,0.23,0.00,0.06,0.17,0.23,0.06,0.23,0.07,0.07,0.07,0.14,0.07,0.07,0.14,0.07,0.14,Matches
