Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Adrián\Adrian,es ESP,GK,West Ham,30,1987,19,19,1710,19.0,1.53,1.53,5.00,3.58,70.5,0.37,0.32,0.32,0.32,31.6,0.05,0.05,0.00,0.00,0.0,Matches
2,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,30,1987,38,38,3420,38.0,1.61,1.61,4.55,3.00,65.9,0.29,0.29,0.42,0.16,15.8,0.11,0.05,0.03,0.03,33.3,Matches
3,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,34,1983,3,2,226,2.5,0.40,0.40,2.00,1.60,80.0,0.80,0.00,0.00,0.40,50.0,0.00,0.00,0.00,0.00,,Matches
4,Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,24,1993,35,35,3150,35.0,1.74,1.74,5.66,4.11,71.7,0.20,0.31,0.49,0.17,17.1,0.14,0.14,0.00,0.00,0.0,Matches
5,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,35,1981,3,3,270,3.0,1.33,1.33,3.67,2.33,63.6,0.33,0.33,0.33,0.33,33.3,0.00,0.00,0.00,0.00,,Matches
6,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,35,1982,34,34,3039,33.8,1.42,1.42,3.82,2.54,66.7,0.47,0.18,0.36,0.33,32.4,0.18,0.15,0.03,0.00,16.7,Matches
7,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Chelsea,25,1992,35,35,3150,35.0,0.97,0.97,2.94,2.09,68.9,0.57,0.17,0.26,0.43,42.9,0.06,0.06,0.00,0.00,0.0,Matches
8,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,26,1990,10,10,900,10.0,1.50,1.50,4.30,3.20,72.1,0.10,0.50,0.40,0.20,20.0,0.30,0.30,0.00,0.00,0.0,Matches
9,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,28,1989,12,12,1080,12.0,0.92,0.92,3.08,2.17,70.3,0.50,0.08,0.42,0.33,33.3,0.08,0.00,0.08,0.00,100.0,Matches
10,Ederson\Ederson,br BRA,GK,Manchester City,23,1993,36,36,3194,35.5,0.73,0.73,2.23,1.52,67.1,0.85,0.11,0.06,0.45,44.4,0.08,0.00,0.06,0.03,100.0,Matches
11,Rob Elliot\Rob-Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,16,1440,16.0,1.31,1.31,3.88,2.69,67.7,0.31,0.13,0.56,0.19,18.8,0.13,0.06,0.06,0.00,50.0,Matches
12,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,Swansea City,32,1985,38,38,3420,38.0,1.47,1.47,5.03,3.68,72.3,0.21,0.24,0.55,0.24,23.7,0.18,0.08,0.08,0.03,50.0,Matches
13,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,29,1988,20,20,1800,20.0,1.50,1.50,4.80,3.30,68.8,0.20,0.35,0.45,0.20,20.0,0.05,0.00,0.05,0.00,100.0,Matches
14,Ben Foster\Ben-Foster,eng ENG,GK,West Brom,34,1983,37,37,3330,37.0,1.49,1.49,4.11,2.68,64.5,0.16,0.32,0.51,0.27,27.0,0.03,0.03,0.00,0.00,0.0,Matches
15,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,25,1992,1,1,90,1.0,0.00,0.00,3.00,3.00,100.0,1.00,0.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,Matches
16,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,26,1990,37,37,3330,37.0,0.76,0.76,3.78,3.11,80.7,0.65,0.16,0.19,0.49,48.6,0.03,0.03,0.00,0.00,0.0,Matches
17,Heurelho Gomes\Heurelho-Gomes,br BRA,GK,Watford,36,1981,24,24,2128,23.6,1.69,1.69,4.15,2.63,62.2,0.30,0.21,0.51,0.21,20.8,0.13,0.13,0.00,0.00,0.0,Matches
18,Lee Grant\Lee-Grant,eng ENG,GK,Stoke City,34,1983,3,3,270,3.0,2.33,2.33,4.67,2.33,50.0,0.00,0.33,0.67,0.33,33.3,0.00,0.00,0.00,0.00,,Matches
19,Ben Hamer\Ben-Hamer,eng ENG,GK,Leicester City,29,1987,4,3,275,3.1,2.26,2.29,4.19,2.26,53.8,0.00,0.32,0.65,0.32,33.3,0.32,0.32,0.00,0.00,0.0,Matches
20,Joe Hart\Joe-Hart,eng ENG,GK,West Ham,30,1987,19,19,1710,19.0,2.05,2.05,4.63,2.79,60.2,0.16,0.32,0.53,0.21,21.1,0.26,0.21,0.05,0.00,20.0,Matches
21,Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,31,1986,4,4,305,3.4,1.18,1.18,3.82,2.65,69.2,0.29,0.29,0.29,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
22,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,30,1987,27,27,2430,27.0,1.52,1.52,4.74,3.33,68.8,0.30,0.22,0.48,0.26,25.9,0.04,0.04,0.00,0.00,0.0,Matches
23,Eldin Jakupović\Eldin-Jakupovic,ch SUI,GK,Leicester City,32,1984,2,2,180,2.0,3.00,3.00,6.50,4.00,53.8,0.50,0.00,0.50,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
24,Loris Karius\Loris-Karius,de GER,GK,Liverpool,24,1993,19,19,1710,19.0,0.74,0.74,2.21,1.58,71.4,0.58,0.26,0.16,0.53,52.6,0.16,0.11,0.05,0.00,33.3,Matches
25,Orestis Karnezis\Orestis-Karnezis,gr GRE,GK,Watford,32,1985,15,14,1292,14.4,1.67,1.67,3.61,2.15,59.6,0.28,0.21,0.49,0.28,28.6,0.21,0.21,0.00,0.00,0.0,Matches
26,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,30,1986,36,36,3240,36.0,0.97,0.97,3.33,2.39,72.5,0.61,0.19,0.19,0.42,41.7,0.08,0.06,0.03,0.00,33.3,Matches
27,Jonas Lössl\Jonas-Lossl,dk DEN,GK,Huddersfield,28,1989,38,38,3420,38.0,1.50,1.50,4.05,2.66,65.6,0.24,0.26,0.50,0.26,26.3,0.16,0.11,0.05,0.00,33.3,Matches
28,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,27,1989,18,18,1620,18.0,1.44,1.44,3.56,2.17,60.9,0.17,0.44,0.39,0.22,22.2,0.06,0.06,0.00,0.00,0.0,Matches
29,Simon Mignolet\Simon-Mignolet,be BEL,GK,Liverpool,29,1988,19,19,1710,19.0,1.26,1.26,3.00,1.84,61.4,0.53,0.37,0.11,0.37,36.8,0.16,0.11,0.05,0.00,33.3,Matches
30,Boaz Myhill\Boaz-Myhill,wal WAL,GK,West Brom,34,1982,1,1,90,1.0,1.00,1.00,3.00,2.00,66.7,0.00,1.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
31,David Ospina\David-Ospina,co COL,GK,Arsenal,28,1988,5,4,381,4.2,0.71,0.71,3.33,2.62,78.6,0.71,0.00,0.24,0.48,50.0,0.00,0.00,0.00,0.00,,Matches
32,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,23,1994,38,38,3420,38.0,1.53,1.53,4.63,3.18,68.8,0.34,0.26,0.39,0.26,26.3,0.13,0.08,0.03,0.03,25.0,Matches
33,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,25,1992,35,34,3115,34.6,1.01,1.01,4.31,3.38,78.5,0.38,0.32,0.32,0.32,32.4,0.14,0.09,0.03,0.03,25.0,Matches
34,Sergio Romero\Sergio-Romero,ar ARG,GK,Manchester Utd,30,1987,1,1,90,1.0,0.00,0.00,4.00,4.00,100.0,1.00,0.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,Matches
35,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,25,1992,38,38,3420,38.0,1.42,1.42,4.47,3.16,68.8,0.24,0.34,0.42,0.26,26.3,0.08,0.03,0.05,0.00,66.7,Matches
36,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,30,1986,33,33,2965,32.9,1.43,1.43,4.10,2.74,65.9,0.33,0.30,0.36,0.24,24.2,0.09,0.03,0.06,0.00,66.7,Matches
37,Julián Speroni\Julian-Speroni,ar ARG,GK,Crystal Palace,38,1979,11,11,990,11.0,1.27,1.27,3.64,2.45,67.5,0.27,0.45,0.27,0.18,18.2,0.09,0.09,0.00,0.00,0.0,Matches
38,Michel Vorm\Michel-Vorm,nl NED,GK,Tottenham,33,1983,1,1,90,1.0,1.00,1.00,4.00,4.00,75.0,0.00,1.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
