Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,26,1990,24.3,1.98,1.23,1.36,0.53,0.08,0.86,1.56,55.3,0.70,10.4,3.21,30.8,6.54,2.92,0.95,1.48,0.21,0.00,1.28,1.48,3.46,2.30,0.08,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,21,1995,1.5,3.33,2.67,2.00,0.67,0.67,1.33,2.67,50.0,1.33,22.7,5.33,23.5,8.67,10.7,3.33,2.67,0.00,0.00,2.67,1.33,4.67,0.00,0.00,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,19,1997,19.2,0.57,0.26,0.16,0.21,0.21,0.05,0.68,7.7,0.63,9.27,3.02,32.6,0.73,3.49,5.05,0.63,0.21,0.00,0.42,0.21,0.78,0.36,0.00,Matches
4,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,31,1985,4.6,1.96,1.09,0.43,1.09,0.43,1.09,3.04,35.7,1.96,9.78,1.74,17.8,2.83,5.87,1.09,1.09,0.00,0.00,1.09,0.43,2.39,1.96,0.00,Matches
5,Adrián\Adrian,es ESP,GK,West Ham,30,1987,19.0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.0,0.11,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,Matches
6,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,31,1986,1.8,1.11,1.11,0.00,1.11,0.00,0.00,0.56,0.0,0.56,12.8,3.33,26.1,7.22,5.56,0.00,0.56,0.00,0.00,0.56,1.11,2.22,0.00,0.00,Matches
7,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,24,1993,6.8,0.59,0.44,0.29,0.29,0.00,0.15,1.03,14.3,0.88,16.5,4.85,29.5,1.18,7.65,7.65,1.62,0.15,0.00,1.47,0.15,0.74,0.88,0.00,Matches
8,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,29,1988,21.8,0.37,0.23,0.09,0.23,0.05,0.05,0.46,10.0,0.41,12.0,3.21,26.7,0.60,3.94,7.48,0.64,0.09,0.00,0.55,0.37,0.73,0.18,0.00,Matches
9,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,22,1995,37.3,1.34,0.72,0.88,0.38,0.08,0.48,0.88,54.5,0.40,8.26,2.52,30.5,5.71,2.09,0.46,1.82,0.75,0.00,1.07,1.02,2.36,5.39,0.03,Matches
10,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,27,1989,28.2,1.74,1.06,0.82,0.67,0.25,0.64,1.88,34.0,1.24,16.0,4.01,25.1,6.52,5.71,3.72,1.70,0.18,0.00,1.52,0.89,2.62,0.89,0.00,Matches
11,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,1.15,0.61,0.61,0.38,0.15,0.69,1.37,50.0,0.69,7.94,3.28,41.3,4.43,2.82,0.69,1.53,0.46,0.08,1.07,0.53,1.68,3.21,0.00,Matches
12,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,17.5,1.77,1.03,1.09,0.40,0.29,0.91,2.40,38.1,1.49,14.5,5.26,36.2,7.77,4.46,2.29,1.71,0.29,0.00,1.43,1.83,3.60,2.11,0.06,Matches
