Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,26,1990,24.3,56.3,3.42,18.4,23.8,18.0,1.60,47.2,0.70,1.07,65.4,0.82,0.00,31.6,179.7,98.9,5.06,1.60,0.45,0.95,0.70,31.5,29.2,92.7,2.02,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,21,1995,1.5,45.3,0.00,9.33,22.0,18.0,2.00,45.3,1.33,2.00,66.7,1.33,0.00,32.0,157.3,99.3,6.00,2.67,0.00,2.67,3.33,39.3,26.0,66.1,5.33,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,19,1997,19.2,27.9,0.57,2.19,12.8,14.3,3.75,26.9,1.35,2.34,57.8,1.41,0.00,19.2,79.6,32.5,1.61,0.31,0.31,3.13,1.82,36.0,20.4,56.7,8.18,Matches
4,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,31,1985,4.6,71.7,2.17,13.7,44.6,20.2,1.09,66.3,1.52,1.74,87.5,1.52,0.22,47.0,240.0,107.2,5.22,1.52,0.00,1.30,0.65,48.3,44.6,92.3,1.96,Matches
5,Adrián\Adrian,es ESP,GK,West Ham,30,1987,19.0,29.1,25.5,28.8,0.37,0.00,0.00,21.1,0.00,0.00,,0.00,0.00,12.7,96.8,58.5,0.00,0.00,0.00,0.00,0.00,9.00,9.00,100.0,0.00,Matches
6,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,31,1986,1.8,49.4,0.00,12.8,33.3,8.33,0.56,48.9,0.56,0.56,100.0,0.56,0.56,41.1,230.6,75.6,1.67,0.56,0.00,1.11,1.67,38.3,35.6,92.8,2.22,Matches
7,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,24,1993,6.8,32.9,1.03,2.94,14.1,17.9,4.12,31.9,0.59,0.74,80.0,0.59,0.00,19.7,104.7,44.4,2.50,0.59,0.74,3.82,1.18,42.6,24.1,56.6,9.12,Matches
8,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,29,1988,21.8,42.7,0.41,2.06,14.8,28.8,8.17,41.2,1.42,2.34,60.8,1.93,0.00,30.7,176.2,88.4,5.55,1.33,1.38,2.25,2.57,51.5,34.1,66.2,13.6,Matches
9,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,22,1995,37.3,54.3,8.15,35.1,19.9,2.95,1.26,53.2,0.13,0.16,83.3,0.13,0.00,29.2,192.2,100.4,2.04,0.40,0.00,0.21,0.19,29.4,28.4,96.4,0.97,Matches
10,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,27,1989,28.2,55.3,2.13,12.3,23.2,23.8,1.24,50.3,1.84,3.01,61.2,1.88,0.21,37.9,215.2,98.4,4.40,1.38,0.21,1.67,1.06,40.7,34.3,84.2,3.48,Matches
11,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,78.5,5.57,35.9,41.8,7.71,0.76,76.8,0.38,0.53,71.4,0.38,0.00,56.5,342.6,217.9,6.41,1.53,0.00,0.23,0.00,57.0,56.0,98.1,0.23,Matches
12,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,17.5,82.5,2.69,22.1,36.9,27.8,1.49,72.5,0.97,1.89,51.5,1.20,0.17,52.1,230.4,129.6,6.40,2.06,0.23,0.97,0.63,54.4,50.9,93.5,2.63,Matches
13,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,27,1990,34.9,50.9,2.46,11.8,26.8,16.2,1.98,50.1,1.35,1.75,77.0,1.43,0.29,32.6,177.9,82.5,3.38,1.43,0.14,1.06,1.46,32.7,27.7,84.9,3.72,Matches
14,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,21,1996,32.9,55.2,1.09,6.20,22.3,31.2,5.59,54.3,1.67,3.68,45.5,1.95,0.24,41.3,237.9,114.4,5.62,2.04,0.70,3.16,2.98,54.9,40.5,73.8,13.8,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,26,1990,31.7,63.2,2.78,17.8,25.0,24.8,3.22,56.3,0.50,1.01,50.0,0.54,0.00,37.9,207.8,123.1,6.40,1.86,0.28,1.01,0.79,44.4,38.8,87.4,5.05,Matches
16,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,22,1994,5.4,62.8,4.44,24.1,33.9,8.52,0.00,54.6,0.37,0.74,50.0,0.56,0.00,36.1,197.2,91.1,2.04,0.56,0.00,0.19,0.93,35.2,34.3,97.4,0.19,Matches
17,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,16,2000,0.1,220.0,30.0,150.0,90.0,0.00,0.00,220.0,0.00,0.00,,0.00,0.00,160.0,730.0,600.0,10.0,0.00,0.00,0.00,0.00,160.0,160.0,100.0,0.00,Matches
18,Nordin Amrabat\Nordin-Amrabat,ma MAR,FW,Watford,30,1987,2.2,46.8,0.00,5.91,15.9,26.8,2.27,45.9,0.91,2.73,33.3,0.91,0.00,34.1,131.4,74.1,5.00,1.36,1.36,2.27,2.27,42.3,33.6,79.6,10.5,Matches
19,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,27,1990,15.0,50.5,1.40,7.80,21.9,26.3,2.60,47.5,2.80,4.60,60.9,2.87,0.13,37.1,182.1,94.5,5.13,1.47,0.67,4.40,3.80,49.3,35.1,71.2,8.07,Matches
20,Scott Arfield\Scott-Arfield,ca CAN,FWMF,Burnley,28,1988,14.8,35.7,1.69,8.11,15.3,14.7,1.76,35.2,0.81,2.09,38.7,1.08,0.07,21.3,105.4,43.8,1.96,0.74,0.14,1.49,0.95,26.4,20.1,76.4,4.32,Matches
21,Marko Arnautović\Marko-Arnautovic,at AUT,FWMF,West Ham,28,1989,25.7,42.0,1.75,5.14,13.6,26.2,6.42,40.3,1.56,2.80,55.6,1.75,0.16,28.6,167.2,79.8,4.55,1.13,1.32,2.26,1.79,43.9,28.9,65.9,10.5,Matches
22,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,27,1989,10.7,61.3,1.59,14.8,37.2,13.9,0.28,59.9,0.28,0.47,60.0,0.28,0.09,44.6,251.2,118.2,3.36,1.12,0.19,0.47,0.75,44.2,42.8,96.8,0.75,Matches
23,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,25,1992,19.8,39.8,1.62,8.84,15.2,20.0,3.59,39.1,1.16,3.08,37.7,1.36,0.25,27.7,193.2,106.9,4.75,1.92,0.81,1.62,1.92,33.8,24.9,73.7,5.96,Matches
