Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Arsenal,30,38.0,15.3,9.37,7.66,5.37,2.24,4.50,13.4,33.6,8.89,128.6,40.2,31.2,44.9,52.4,31.2,14.4,3.08,0.16,11.3,9.34,24.6,17.6,0.32
Bournemouth,22,38.0,12.4,7.18,6.89,3.74,1.76,4.34,12.9,33.5,8.61,139.5,35.0,25.1,48.5,62.8,28.2,17.6,4.29,0.13,13.3,8.11,20.5,22.9,0.13
Brighton,24,38.0,15.1,9.71,9.53,4.58,0.97,4.58,15.4,29.7,10.8,133.7,34.2,25.6,55.7,56.0,22.0,17.4,5.00,0.18,12.4,9.08,24.2,22.7,0.47
Burnley,24,38.0,12.5,7.89,7.21,4.16,1.13,4.79,14.6,32.9,9.76,152.7,38.6,25.3,58.6,63.7,30.4,19.2,5.47,0.16,13.7,10.0,22.5,22.6,0.11
Chelsea,26,38.0,16.3,9.95,8.61,6.00,1.71,5.63,13.9,40.4,8.32,138.1,41.6,30.1,53.9,57.3,26.8,14.6,3.16,0.05,11.4,8.45,24.8,17.2,0.32
Crystal Palace,28,38.0,16.4,9.34,9.95,5.21,1.26,5.47,14.3,38.2,8.87,138.0,38.1,27.6,55.6,59.4,23.0,17.8,3.39,0.13,14.4,11.2,27.6,21.8,0.47
Everton,30,38.0,16.3,9.68,9.45,4.95,1.95,5.34,15.1,35.5,9.71,145.8,38.7,26.5,56.5,58.6,30.7,17.9,4.39,0.13,13.5,10.4,26.8,22.5,0.29
Huddersfield,25,38.0,18.2,10.4,8.55,7.55,2.08,5.26,15.7,33.5,10.4,138.7,41.0,29.6,49.3,60.8,28.6,17.8,3.45,0.16,14.4,11.8,30.0,21.7,0.37
Leicester City,27,38.0,16.0,9.84,9.00,5.50,1.53,4.34,14.7,29.6,10.3,128.2,36.6,28.5,52.0,49.9,26.3,17.7,3.74,0.11,14.0,9.61,25.6,20.0,0.16
Liverpool,27,38.0,15.1,9.79,7.05,5.63,2.45,4.45,13.0,34.2,8.55,150.2,48.1,32.0,45.6,67.2,37.4,14.1,1.97,0.05,12.1,10.0,25.1,16.9,0.24
Manchester City,25,38.0,13.1,8.18,5.97,4.87,2.21,4.47,13.2,33.9,8.74,109.5,36.4,33.3,31.5,43.8,34.2,12.5,1.61,0.08,10.9,8.53,21.6,10.6,0.11
Manchester Utd,27,38.0,13.1,8.68,6.76,4.32,1.97,4.08,13.6,30.0,9.53,145.6,38.3,26.3,53.6,61.9,30.1,15.3,3.37,0.05,12.0,10.7,23.8,16.7,0.29
Newcastle Utd,27,38.0,15.9,9.24,8.84,5.37,1.66,4.74,14.7,32.1,10.0,137.1,34.6,25.3,53.3,57.6,26.2,19.3,3.58,0.16,15.7,10.4,26.2,24.2,0.18
Southampton,26,38.0,16.6,10.3,9.32,5.50,1.79,4.74,14.5,32.6,9.79,126.2,37.4,29.6,50.2,48.6,27.4,17.5,3.92,0.08,13.6,10.8,27.4,18.9,0.32
Stoke City,30,38.0,16.3,9.32,9.37,5.37,1.55,5.18,14.2,36.5,9.03,128.4,32.7,25.4,53.2,53.4,21.9,16.8,4.03,0.11,12.8,10.0,26.3,23.4,0.47
Swansea City,26,38.0,14.9,9.32,7.87,5.18,1.87,4.47,12.9,34.6,8.47,147.1,39.3,26.7,57.6,60.4,29.1,15.9,3.63,0.03,12.2,9.03,23.9,20.1,0.34
Tottenham,25,38.0,15.2,9.45,7.08,5.82,2.26,4.74,13.6,35.0,8.82,131.1,42.4,32.4,39.7,55.0,36.3,14.0,2.34,0.05,11.7,9.13,24.3,15.7,0.21
Watford,29,38.0,15.7,9.42,8.32,5.76,1.61,5.00,14.2,35.2,9.21,131.8,38.3,29.0,47.8,57.2,26.9,14.7,2.68,0.08,12.0,10.7,26.4,19.5,0.29
West Brom,24,38.0,14.4,9.21,8.47,4.50,1.42,4.63,14.8,31.2,10.2,140.2,37.3,26.6,57.3,58.0,24.9,16.2,4.21,0.05,11.9,11.3,25.7,21.6,0.45
West Ham,27,38.0,14.8,9.13,8.47,4.66,1.68,4.74,14.4,33.0,9.63,144.8,39.3,27.1,61.8,57.2,25.8,16.7,4.11,0.08,12.6,11.1,25.9,18.8,0.34
