Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38.0,0.58,0.00,0.00,0.13,0.00,0.71,0.28,0.13,+0.13,5.16,10.4,49.7,27.7,5.18,27.0,32.4,5.47,52.4,46.3,7.32,0.58,7.9,0.97,0.97,0.44,Matches
2,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36.0,1.08,0.03,0.00,0.17,0.00,1.04,0.31,-0.04,-0.04,4.86,8.69,55.9,24.7,4.56,22.4,29.0,6.89,46.0,41.4,6.94,0.53,7.6,0.64,0.64,0.44,Matches
3,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24.0,1.96,0.08,0.00,0.25,0.08,1.51,0.35,-0.36,-0.36,5.67,13.8,41.0,19.2,5.00,45.1,40.0,7.17,72.1,56.1,9.42,0.83,8.8,0.42,0.42,0.57,Matches
4,Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7.0,2.86,0.14,0.00,0.14,0.00,2.41,0.40,-0.44,-0.44,8.57,20.1,42.6,24.7,4.00,50.9,42.2,9.14,82.8,59.0,10.3,1.00,9.7,0.57,0.57,2.10,Matches
5,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,38,1980,12.0,1.50,0.25,0.17,0.17,0.00,1.41,0.28,-0.09,-0.09,5.33,15.5,34.4,19.7,4.92,45.3,40.9,9.50,69.3,53.7,10.4,0.33,3.2,0.33,0.33,1.13,Matches
6,David Button\David-Button,eng ENG,GK,Brighton,29,1989,4.0,1.25,0.50,0.00,0.00,0.00,1.48,0.28,0.23,+0.22,7.25,21.8,33.3,18.3,2.25,74.0,52.5,8.75,94.3,68.8,8.00,0.25,3.1,0.00,0.00,2.75,Matches
7,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,36,1981,2.0,0.00,0.00,0.00,0.00,0.00,0.20,0.14,0.20,+0.20,7.00,13.0,53.8,23.5,4.50,29.8,31.1,8.00,75.0,48.9,9.00,2.00,22.2,0.00,0.00,4.40,Matches
8,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,36,1982,6.5,1.38,0.00,0.00,0.15,0.00,1.62,0.30,0.23,+0.24,3.85,14.2,27.2,30.9,5.85,32.3,34.8,6.31,65.9,53.0,10.3,1.23,11.9,0.62,0.62,2.63,Matches
9,Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,22,1995,1.0,1.00,0.00,0.00,0.00,0.00,0.70,0.24,-0.30,-0.28,6.00,30.0,20.0,31.0,0.00,77.4,54.8,6.00,100.0,68.3,10.0,0.00,0.0,0.00,0.00,12.7,Matches
10,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,29,1989,38.0,1.26,0.16,0.05,0.26,0.03,1.33,0.34,0.09,+0.09,7.16,19.0,37.7,22.0,3.79,54.2,43.5,8.32,85.1,62.8,10.7,0.92,8.6,0.61,0.61,0.35,Matches
