Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,35.5,55.3,45.3,9.97,1.32,0.11,7.72,0.82,1.52,0.03,0.00,0.00,0.00,37.2,8.65,9.38,36.6,8.73,1.13,8.62,0.11,44.7,0.08,0.96,1.61,1.46,Matches
2,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,27.3,28.8,27.0,1.79,0.00,0.22,7.36,0.11,0.55,0.04,0.00,0.00,0.00,22.4,4.10,2.23,2.75,24.5,0.66,0.29,0.29,24.4,0.11,0.33,0.62,0.77,Matches
3,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,37.9,44.9,42.7,2.19,1.35,0.00,5.70,0.74,0.21,0.00,0.00,0.00,0.00,33.9,4.30,6.65,33.9,6.17,2.74,0.84,0.16,38.8,0.00,0.87,0.45,0.45,Matches
4,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,18.1,42.9,41.2,1.71,0.33,0.06,11.3,2.21,4.48,0.55,0.00,0.00,0.00,23.4,5.86,13.6,3.31,36.7,1.60,0.77,0.11,25.4,0.55,1.22,1.33,3.43,Matches
5,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,32.5,72.1,69.6,2.46,2.15,0.06,7.94,2.95,0.09,0.00,0.00,0.00,0.00,52.7,4.89,14.4,13.8,53.9,3.35,0.31,0.22,63.6,0.25,1.35,0.22,0.40,Matches
6,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,27.4,80.8,65.0,15.8,1.61,0.18,11.7,4.12,4.05,2.66,0.80,0.55,0.07,42.0,11.8,26.9,6.50,60.9,1.72,11.5,0.11,60.0,0.47,2.41,1.17,2.85,Matches
7,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38.0,33.2,25.5,7.71,2.24,0.00,4.03,1.66,0.00,0.00,0.00,0.00,0.00,20.9,2.63,9.71,2.63,24.3,0.03,0.00,5.18,27.3,0.05,0.87,0.16,0.05,Matches
8,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,20.3,51.7,50.1,1.58,0.44,0.64,12.6,0.89,0.84,0.10,0.00,0.00,0.00,40.1,4.78,6.80,2.22,46.5,1.82,0.54,0.30,41.5,0.34,0.74,1.18,1.87,Matches
9,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,8.4,31.0,30.5,0.48,0.00,0.24,8.45,1.55,2.26,0.12,0.00,0.12,0.00,22.5,4.76,3.69,28.0,1.31,1.07,0.12,0.24,22.4,0.00,0.60,0.83,1.79,Matches
10,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,30.7,72.5,63.5,8.99,0.85,0.07,13.1,1.56,2.51,0.00,0.00,0.00,0.00,50.3,10.6,11.6,54.5,5.77,2.77,8.14,0.16,59.9,0.13,1.34,1.27,1.99,Matches
11,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,23,1994,7.1,61.0,53.5,7.46,0.42,0.00,7.04,0.99,0.56,0.00,0.00,0.00,0.00,40.3,8.17,12.5,5.07,44.2,3.38,7.04,0.56,49.9,0.14,1.13,1.27,0.56,Matches
12,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,21,1997,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,Matches
