Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,2,38,38,3420,38.0,1.34,1.34,4.61,3.47,74.9,0.55,0.18,0.26,0.21,21.1,0.18,0.18,0.00,0.00,0.0
Bournemouth,3,38,38,3420,38.0,1.84,1.84,4.37,2.71,60.8,0.34,0.16,0.50,0.26,26.3,0.13,0.13,0.00,0.00,0.0
Brighton,2,38,38,3420,38.0,1.58,1.58,4.08,2.76,67.7,0.24,0.24,0.53,0.18,18.4,0.26,0.26,0.00,0.00,0.0
Burnley,2,38,38,3420,38.0,1.79,1.79,5.24,3.61,66.8,0.29,0.18,0.53,0.21,21.1,0.08,0.05,0.03,0.00,33.3
Cardiff City,1,38,38,3420,38.0,1.82,1.82,5.29,3.55,67.7,0.26,0.11,0.63,0.26,26.3,0.18,0.11,0.08,0.00,42.9
Chelsea,2,38,38,3420,38.0,1.03,1.03,3.16,2.13,68.3,0.55,0.24,0.21,0.42,42.1,0.05,0.03,0.03,0.00,50.0
Crystal Palace,3,38,38,3420,38.0,1.39,1.39,4.11,2.82,68.6,0.37,0.18,0.45,0.32,31.6,0.13,0.11,0.03,0.00,20.0
Everton,1,38,38,3420,38.0,1.21,1.21,3.37,2.26,65.6,0.39,0.24,0.37,0.37,36.8,0.13,0.05,0.08,0.00,60.0
Fulham,3,38,38,3420,38.0,2.13,2.13,5.84,3.87,65.8,0.18,0.13,0.68,0.13,13.2,0.18,0.13,0.03,0.03,16.7
Huddersfield,3,38,38,3420,38.0,2.00,2.00,4.66,2.84,61.0,0.08,0.18,0.74,0.13,13.2,0.21,0.18,0.03,0.00,12.5
Leicester City,1,38,38,3420,38.0,1.26,1.26,3.66,2.53,69.1,0.39,0.18,0.42,0.26,26.3,0.13,0.13,0.00,0.00,0.0
Liverpool,1,38,38,3420,38.0,0.58,0.58,2.53,1.95,77.1,0.79,0.18,0.03,0.55,55.3,0.03,0.00,0.00,0.03,
Manchester City,1,38,38,3420,38.0,0.61,0.61,2.00,1.50,75.0,0.84,0.05,0.11,0.53,52.6,0.11,0.11,0.00,0.00,0.0
Manchester Utd,1,38,38,3420,38.0,1.42,1.42,4.45,3.26,71.6,0.50,0.24,0.26,0.18,18.4,0.16,0.16,0.00,0.00,0.0
Newcastle Utd,1,38,38,3420,38.0,1.26,1.26,3.55,2.47,68.9,0.32,0.24,0.45,0.29,28.9,0.16,0.16,0.00,0.00,0.0
Southampton,3,38,38,3420,38.0,1.71,1.71,4.47,2.89,62.9,0.24,0.32,0.45,0.18,18.4,0.08,0.05,0.03,0.00,33.3
Tottenham,3,38,38,3420,38.0,1.03,1.03,3.89,3.00,75.7,0.61,0.05,0.34,0.34,34.2,0.13,0.08,0.05,0.00,40.0
Watford,1,38,38,3420,38.0,1.55,1.55,4.55,3.11,68.2,0.37,0.21,0.42,0.18,18.4,0.13,0.11,0.03,0.00,20.0
West Ham,1,38,38,3420,38.0,1.45,1.45,5.03,3.66,73.3,0.39,0.18,0.42,0.18,18.4,0.13,0.11,0.03,0.00,20.0
Wolves,3,38,38,3420,38.0,1.21,1.21,3.71,2.66,69.5,0.42,0.24,0.34,0.24,23.7,0.11,0.08,0.00,0.03,0.0
