Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,2,38.0,1.34,0.18,0.03,0.13,0.05,1.43,0.29,0.14,+0.15,4.03,13.7,29.4,28.4,5.61,33.1,35.4,6.97,61.5,50.7,8.37,0.66,7.9,0.58,0.58,0.40
Bournemouth,3,38.0,1.84,0.13,0.05,0.21,0.08,1.48,0.32,-0.28,-0.28,5.55,14.2,39.0,19.5,5.08,44.7,39.8,7.89,70.0,54.6,9.47,0.63,6.7,0.47,0.47,0.37
Brighton,2,38.0,1.58,0.26,0.03,0.16,0.00,1.52,0.32,-0.06,-0.06,9.29,22.6,41.1,20.1,2.87,68.0,49.1,9.47,94.2,64.8,9.32,0.50,5.4,0.18,0.18,0.33
Burnley,2,38.0,1.79,0.05,0.05,0.26,0.11,1.57,0.29,-0.12,-0.12,9.32,25.2,36.9,21.8,2.32,78.1,55.8,8.92,92.3,69.0,11.3,0.58,5.1,0.68,0.68,0.38
Cardiff City,1,38.0,1.82,0.11,0.03,0.32,0.00,1.82,0.32,0.00,0.00,8.76,29.0,30.2,22.9,1.29,90.4,61.6,8.39,99.4,70.6,7.87,0.58,7.4,1.00,1.00,0.43
Chelsea,2,38.0,1.03,0.03,0.00,0.16,0.00,1.00,0.30,-0.03,-0.03,4.97,8.92,55.8,24.6,4.55,22.8,29.1,6.95,47.7,41.9,7.05,0.61,8.6,0.61,0.61,0.42
Crystal Palace,3,38.0,1.39,0.11,0.03,0.21,0.03,1.23,0.28,-0.14,-0.14,6.87,20.8,33.0,20.5,3.79,62.6,48.7,8.87,89.6,66.1,10.4,0.71,6.8,0.45,0.45,0.36
Everton,1,38.0,1.21,0.05,0.05,0.29,0.05,1.27,0.35,0.11,+0.11,7.39,20.1,36.8,25.5,3.95,58.4,48.3,7.42,70.6,60.5,7.42,0.66,8.9,0.92,0.92,0.42
Fulham,3,38.0,2.13,0.13,0.03,0.24,0.05,1.99,0.32,-0.08,-0.09,8.74,20.7,42.1,21.9,3.45,59.7,44.8,9.08,84.3,60.1,10.4,0.82,7.8,0.45,0.45,0.36
Huddersfield,3,38.0,2.00,0.18,0.08,0.21,0.03,1.66,0.33,-0.32,-0.32,9.76,23.2,42.0,28.0,2.79,62.9,46.9,6.95,81.1,61.0,7.42,0.84,11.3,0.61,0.61,0.37
Leicester City,1,38.0,1.26,0.13,0.00,0.18,0.00,1.22,0.30,-0.04,-0.04,8.66,18.2,47.5,23.8,2.84,51.3,41.9,8.03,75.1,57.4,8.89,0.89,10.1,0.42,0.42,0.37
Liverpool,1,38.0,0.58,0.00,0.00,0.13,0.00,0.71,0.28,0.13,+0.13,5.16,10.4,49.7,27.7,5.18,27.0,32.4,5.47,52.4,46.3,7.32,0.58,7.9,0.97,0.97,0.44
Manchester City,1,38.0,0.61,0.11,0.03,0.13,0.00,0.71,0.32,0.10,+0.10,3.61,7.29,49.5,23.7,4.53,21.5,29.7,4.47,48.8,49.4,4.66,0.45,9.6,0.71,0.71,0.45
Manchester Utd,1,38.0,1.42,0.16,0.05,0.18,0.08,1.37,0.28,0.02,+0.02,8.18,17.6,46.6,19.9,3.76,53.0,43.8,8.71,80.4,60.5,8.16,0.50,6.1,0.34,0.34,0.33
Newcastle Utd,1,38.0,1.26,0.16,0.05,0.26,0.03,1.33,0.34,0.09,+0.09,7.16,19.0,37.7,22.0,3.79,54.2,43.5,8.32,85.1,62.8,10.7,0.92,8.6,0.61,0.61,0.35
Southampton,3,38.0,1.71,0.05,0.00,0.21,0.08,1.44,0.31,-0.19,-0.19,5.37,18.7,28.8,18.2,2.53,67.6,50.8,7.26,87.7,65.6,9.34,0.79,8.5,0.50,0.50,0.37
Tottenham,3,38.0,1.03,0.08,0.03,0.18,0.08,1.34,0.32,0.39,+0.39,6.47,14.2,45.5,28.1,4.79,35.8,35.4,7.00,59.8,48.1,8.71,0.45,5.1,0.50,0.50,0.39
Watford,1,38.0,1.55,0.11,0.05,0.18,0.08,1.50,0.32,0.02,+0.02,9.47,25.6,37.0,24.8,2.61,73.8,52.5,7.89,92.7,68.8,9.84,0.92,9.4,1.11,1.11,0.42
West Ham,1,38.0,1.45,0.11,0.00,0.26,0.03,1.73,0.33,0.31,+0.31,8.32,22.3,37.3,23.7,3.74,62.9,49.4,7.97,92.7,68.7,9.89,0.95,9.6,0.42,0.42,0.36
Wolves,3,38.0,1.21,0.08,0.03,0.18,0.08,1.07,0.28,-0.06,-0.06,6.55,15.4,42.6,15.1,2.89,60.6,43.6,7.42,84.0,57.5,8.29,0.55,6.7,0.34,0.34,0.34
