Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,28,38.0,481.8,585.2,82.3,9211.2,2892.6,193.4,218.5,88.5,216.5,245.1,88.3,65.2,102.9,63.4,1.37,1.16,0.21,9.39,33.6,11.4,1.87,41.0
Bournemouth,28,38.0,354.2,458.8,77.2,6965.6,2595.9,139.3,165.3,84.3,159.2,188.9,84.3,51.5,90.0,57.2,1.13,0.96,0.17,8.37,26.8,9.42,2.05,34.3
Brighton,21,38.0,304.7,413.3,73.7,6472.4,2406.3,114.7,137.7,83.3,126.6,155.7,81.3,58.1,105.1,55.2,0.63,0.61,0.02,7.42,23.5,5.82,2.11,24.4
Burnley,23,38.0,267.0,385.5,69.3,5652.4,2336.8,107.9,131.9,81.8,103.6,132.8,78.0,51.7,108.0,47.9,0.84,0.72,0.12,6.61,23.4,6.71,2.26,25.1
Cardiff City,25,38.0,190.6,309.1,61.7,4071.4,1888.6,78.2,102.7,76.1,71.8,100.8,71.3,37.6,93.3,40.3,0.53,0.61,-0.08,7.03,19.9,5.03,1.55,21.2
Chelsea,24,38.0,600.1,697.3,86.1,10845.9,3332.5,273.2,301.5,90.6,248.3,276.9,89.7,69.9,99.7,70.1,1.37,1.20,0.17,12.4,46.5,12.3,2.13,48.9
Crystal Palace,26,38.0,335.0,439.0,76.3,6265.6,2466.8,150.3,175.4,85.7,133.8,160.1,83.5,45.2,87.4,51.7,0.87,0.83,0.04,9.34,26.4,7.68,1.76,32.7
Everton,23,38.0,365.2,480.5,76.0,7319.6,2682.7,145.8,172.6,84.5,155.9,188.2,82.8,59.0,104.4,56.5,0.89,0.79,0.10,8.97,31.5,8.16,2.39,36.1
Fulham,28,38.0,398.6,506.3,78.7,7668.6,2770.8,169.9,193.3,87.9,171.4,201.2,85.2,52.9,98.5,53.7,0.63,0.76,-0.13,8.82,28.8,6.53,1.66,32.2
Huddersfield,31,38.0,342.1,461.4,74.1,6840.3,2570.7,140.1,166.2,84.3,140.6,173.8,80.9,56.7,105.1,54.0,0.34,0.52,-0.18,7.34,26.7,6.26,2.47,28.7
Leicester City,25,38.0,387.7,500.7,77.4,7660.9,2617.0,159.4,186.8,85.4,162.6,195.8,83.0,60.7,102.1,59.4,0.89,0.90,-0.00,9.55,30.9,7.24,1.82,34.4
Liverpool,23,38.0,555.0,664.6,83.5,10974.4,3439.6,213.4,240.0,88.9,254.9,286.0,89.1,81.5,122.9,66.3,1.45,1.26,0.19,11.0,45.6,13.9,2.32,51.0
Manchester City,21,38.0,647.4,740.1,87.5,12123.6,3357.6,264.8,288.9,91.7,299.3,327.8,91.3,77.0,107.2,71.8,1.87,1.62,0.25,13.3,55.2,15.6,1.66,53.8
Manchester Utd,28,38.0,441.8,544.8,81.1,8388.6,2959.2,195.8,220.0,89.0,178.1,208.0,85.6,61.3,99.7,61.5,1.05,1.01,0.04,10.0,34.9,9.50,1.95,40.6
Newcastle Utd,24,38.0,285.3,398.6,71.6,5962.1,2335.5,110.2,133.0,82.8,119.1,148.3,80.3,52.1,102.4,50.9,0.87,0.69,0.18,7.71,23.5,7.03,2.34,25.1
Southampton,30,38.0,304.4,421.0,72.3,5904.8,2180.3,131.0,156.0,84.0,124.0,156.1,79.4,44.8,94.4,47.5,0.71,0.71,-0.00,8.68,28.7,7.03,2.11,29.3
Tottenham,28,38.0,491.7,597.4,82.3,9682.7,3035.6,190.0,214.9,88.4,222.9,252.3,88.4,73.0,113.4,64.4,1.24,0.97,0.27,10.1,37.8,10.1,2.58,39.6
Watford,25,38.0,334.7,447.5,74.8,6560.2,2542.8,146.4,172.1,85.1,130.0,159.1,81.7,52.3,99.9,52.3,1.03,0.88,0.15,7.92,26.6,8.42,1.79,31.6
West Ham,26,38.0,365.5,472.8,77.3,6972.4,2513.7,161.4,187.1,86.3,141.4,170.6,82.9,54.1,96.2,56.2,0.87,0.87,0.00,8.26,27.4,7.66,1.58,30.9
Wolves,21,38.0,368.8,474.6,77.7,7625.5,2530.0,142.0,164.8,86.1,154.2,183.8,83.9,68.3,112.2,60.8,0.92,0.92,0.01,8.68,29.4,7.24,2.03,31.8
