Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,29,26.7,52.8,27,297,2430,27.0,1.30,0.96,1.11,0.19,0.19,1.48,0.19,1.30,0.96,2.26,1.11,2.07,1.39,1.25,0.90,2.15,1.39,0.90,2.29,1.25,2.15
Aston Villa,21,25.8,48.9,26,286,2340,26.0,1.42,1.12,1.31,0.12,0.15,1.73,0.08,1.42,1.12,2.54,1.31,2.42,1.49,1.38,1.05,2.43,1.49,1.05,2.55,1.38,2.43
Brighton,26,26.3,51.8,27,297,2430,27.0,0.96,0.59,0.78,0.19,0.30,1.37,0.11,0.96,0.59,1.56,0.78,1.37,1.43,1.21,0.90,2.10,1.43,0.90,2.33,1.21,2.10
Burnley,24,29.0,41.3,28,308,2520,28.0,0.68,0.36,0.64,0.04,0.04,1.25,0.00,0.68,0.36,1.04,0.64,1.00,0.91,0.88,0.61,1.49,0.91,0.61,1.52,0.88,1.49
Chelsea,27,26.7,61.6,28,308,2520,28.0,1.50,1.00,1.25,0.25,0.32,1.25,0.04,1.50,1.00,2.50,1.25,2.25,1.59,1.35,1.01,2.36,1.59,1.01,2.60,1.35,2.36
Crystal Palace,22,29.7,40.5,28,308,2520,28.0,1.00,0.75,0.93,0.07,0.07,1.36,0.07,1.00,0.75,1.75,0.93,1.68,0.79,0.74,0.55,1.28,0.78,0.55,1.33,0.73,1.28
Everton,26,26.9,46.7,27,297,2430,27.0,1.41,0.96,1.30,0.11,0.11,1.70,0.07,1.41,0.96,2.37,1.30,2.26,1.18,1.10,0.79,1.90,1.18,0.79,1.98,1.10,1.90
Fulham,25,25.9,49.6,28,308,2520,28.0,0.75,0.54,0.68,0.07,0.18,1.86,0.11,0.75,0.54,1.29,0.68,1.21,1.12,1.01,0.76,1.78,1.12,0.76,1.88,1.01,1.77
Leeds United,22,26.7,60.7,27,297,2430,27.0,1.56,1.15,1.44,0.11,0.11,1.48,0.00,1.56,1.15,2.70,1.44,2.59,1.54,1.46,1.13,2.59,1.54,1.13,2.67,1.46,2.59
Leicester City,26,27.2,52.8,28,308,2520,28.0,1.61,1.07,1.32,0.29,0.36,1.79,0.00,1.61,1.07,2.68,1.32,2.39,1.43,1.16,0.80,1.95,1.43,0.80,2.22,1.16,1.95
Liverpool,28,27.6,63.5,28,308,2520,28.0,1.57,0.96,1.36,0.21,0.21,1.11,0.00,1.57,0.96,2.54,1.36,2.32,1.81,1.65,1.18,2.83,1.81,1.18,2.99,1.65,2.83
Manchester City,23,26.7,64.7,28,308,2520,28.0,1.96,1.32,1.82,0.14,0.25,1.04,0.00,1.96,1.32,3.29,1.82,3.14,1.90,1.71,1.34,3.05,1.90,1.34,3.24,1.71,3.05
Manchester Utd,25,26.4,55.6,28,308,2520,28.0,1.89,1.32,1.61,0.29,0.32,1.57,0.04,1.89,1.32,3.21,1.61,2.93,1.57,1.33,1.02,2.35,1.58,1.02,2.59,1.33,2.35
Newcastle Utd,27,27.6,38.7,27,297,2430,27.0,0.96,0.63,0.81,0.15,0.15,1.89,0.07,0.96,0.63,1.59,0.81,1.44,0.94,0.82,0.64,1.47,0.94,0.65,1.58,0.82,1.47
Sheffield Utd,24,27.2,41.4,28,308,2520,28.0,0.54,0.39,0.43,0.11,0.14,1.89,0.11,0.54,0.39,0.93,0.43,0.82,0.87,0.76,0.63,1.39,0.87,0.63,1.50,0.76,1.39
Southampton,29,27.4,53.0,27,297,2430,27.0,1.22,0.85,1.11,0.11,0.11,1.59,0.07,1.22,0.85,2.07,1.11,1.96,0.99,0.91,0.66,1.56,0.99,0.66,1.65,0.91,1.56
Tottenham,24,27.9,50.5,27,297,2430,27.0,1.67,1.44,1.56,0.11,0.11,1.41,0.04,1.67,1.44,3.11,1.56,3.00,1.37,1.29,0.99,2.28,1.37,0.99,2.36,1.28,2.28
West Brom,30,27.1,37.6,28,308,2520,28.0,0.68,0.39,0.61,0.07,0.07,1.36,0.14,0.68,0.39,1.07,0.61,1.00,0.72,0.66,0.44,1.10,0.72,0.43,1.15,0.67,1.10
West Ham,24,28.4,41.3,27,297,2430,27.0,1.48,1.07,1.44,0.04,0.07,1.22,0.04,1.48,1.07,2.56,1.44,2.52,1.39,1.32,0.92,2.24,1.38,0.92,2.31,1.32,2.24
Wolves,25,27.0,47.3,28,308,2520,28.0,0.93,0.54,0.79,0.14,0.14,1.50,0.04,0.93,0.54,1.46,0.79,1.32,1.04,0.93,0.69,1.62,1.04,0.69,1.73,0.93,1.62
