Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Mason Mount\Mason-Mount,eng ENG,MFFW,22-057,26,24,2127,23.6,0.21,0.13,0.17,0.04,0.04,0.08,0.00,0.21,0.13,0.34,0.17,0.30,0.17,0.14,0.20,0.35,0.17,0.20,0.38,0.14,0.35,Matches
Edouard Mendy\Edouard-Mendy,sn SEN,GK,29-007,22,22,1980,22.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Timo Werner\Timo-Werner,de GER,FW,25-002,26,22,1932,21.5,0.23,0.23,0.23,0.00,0.00,0.00,0.00,0.23,0.23,0.47,0.23,0.47,0.42,0.42,0.13,0.55,0.42,0.13,0.56,0.42,0.56,Matches
N'Golo Kanté\NGolo-Kante,fr FRA,MF,29-344,23,20,1802,20.0,0.00,0.10,0.00,0.00,0.00,0.30,0.00,0.00,0.10,0.10,0.00,0.10,0.01,0.01,0.05,0.07,0.02,0.05,0.07,0.02,0.07,Matches
Ben Chilwell\Ben-Chilwell,eng ENG,DF,24-077,20,20,1666,18.5,0.11,0.22,0.11,0.00,0.00,0.16,0.00,0.11,0.22,0.32,0.11,0.32,0.08,0.08,0.08,0.15,0.08,0.07,0.15,0.08,0.15,Matches
Reece James\Reece-James,eng ENG,DF,21-090,21,17,1610,17.9,0.06,0.11,0.06,0.00,0.00,0.17,0.00,0.06,0.11,0.17,0.06,0.17,0.07,0.07,0.12,0.18,0.06,0.12,0.19,0.06,0.19,Matches
Thiago Silva\Thiago-Silva,br BRA,DF,36-167,17,17,1457,16.2,0.12,0.00,0.12,0.00,0.00,0.19,0.00,0.12,0.00,0.12,0.12,0.12,0.05,0.05,0.01,0.06,0.05,0.01,0.06,0.05,0.06,Matches
Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,26-306,22,17,1440,16.0,0.00,0.06,0.00,0.00,0.00,0.13,0.00,0.00,0.06,0.06,0.00,0.06,0.05,0.05,0.09,0.14,0.05,0.09,0.14,0.05,0.14,Matches
Kurt Zouma\Kurt-Zouma,fr FRA,DF,26-132,16,16,1440,16.0,0.25,0.00,0.25,0.00,0.00,0.06,0.00,0.25,0.00,0.25,0.25,0.25,0.06,0.06,0.00,0.06,0.06,0.00,0.07,0.06,0.07,Matches
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,31-192,17,15,1401,15.6,0.06,0.06,0.06,0.00,0.00,0.26,0.00,0.06,0.06,0.13,0.06,0.13,0.05,0.05,0.07,0.12,0.05,0.07,0.12,0.05,0.12,Matches
Jorginho\Jorginho,it ITA,MF,29-078,18,14,1257,14.0,0.36,0.07,0.00,0.36,0.50,0.00,0.00,0.36,0.07,0.43,0.00,0.07,0.39,0.01,0.10,0.11,0.39,0.10,0.49,0.01,0.11,Matches
Antonio Rüdiger\Antonio-Rudiger,de GER,DF,28-005,12,12,1080,12.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.04,Matches
Tammy Abraham\Tammy-Abraham,eng ENG,FW,23-157,20,12,1021,11.3,0.53,0.09,0.53,0.00,0.00,0.00,0.00,0.53,0.09,0.62,0.53,0.62,0.50,0.50,0.08,0.58,0.49,0.08,0.57,0.49,0.57,Matches
Kai Havertz\Kai-Havertz,de GER,MFFW,21-270,19,12,986,11.0,0.09,0.18,0.09,0.00,0.00,0.18,0.00,0.09,0.18,0.27,0.09,0.27,0.15,0.15,0.12,0.26,0.14,0.12,0.26,0.14,0.26,Matches
Hakim Ziyech\Hakim-Ziyech,ma MAR,FWMF,27-354,14,10,787,8.7,0.11,0.34,0.11,0.00,0.00,0.34,0.00,0.11,0.34,0.46,0.11,0.46,0.15,0.15,0.28,0.43,0.14,0.28,0.42,0.14,0.42,Matches
Christian Pulisic\Christian-Pulisic,us USA,FWMF,22-171,17,9,1012,11.2,0.09,0.09,0.09,0.00,0.00,0.18,0.00,0.09,0.09,0.18,0.09,0.18,0.24,0.24,0.13,0.37,0.24,0.12,0.36,0.24,0.36,Matches
Andreas Christensen\Andreas-Christensen,dk DEN,DF,24-332,10,9,819,9.1,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,Matches
