Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Mason Mount\Mason-Mount,eng ENG,MFFW,22-057,23.6,48.6,58.6,82.9,867.5,235.5,23.7,26.0,91.0,17.0,19.5,87.4,6.44,9.66,66.7,0.13,0.20,-0.08,2.92,4.66,1.65,0.21,5.68,Matches
Edouard Mendy\Edouard-Mendy,sn SEN,GK,29-007,22.0,28.5,33.7,84.5,730.2,363.7,6.45,6.55,98.6,13.5,13.6,98.7,8.36,13.3,62.8,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,Matches
Timo Werner\Timo-Werner,de GER,FW,25-002,21.5,23.7,30.8,76.8,357.3,72.7,12.7,15.6,81.3,9.07,10.6,85.9,0.98,2.09,46.7,0.23,0.13,0.10,0.88,1.21,0.79,0.23,2.19,Matches
N'Golo Kanté\NGolo-Kante,fr FRA,MF,29-344,20.0,55.1,63.5,86.8,1036.6,226.6,21.8,24.4,89.5,26.1,28.8,90.8,6.15,8.25,74.5,0.10,0.05,0.05,0.90,4.30,0.55,0.05,4.20,Matches
Ben Chilwell\Ben-Chilwell,eng ENG,DF,24-077,18.5,59.7,75.6,78.9,1027.3,353.0,29.0,31.8,91.3,23.6,28.6,82.3,5.57,11.5,48.4,0.22,0.08,0.14,1.03,4.22,0.92,0.32,5.84,Matches
Reece James\Reece-James,eng ENG,DF,21-090,17.9,63.3,75.6,83.7,1205.1,295.7,26.1,28.5,91.6,28.7,32.2,89.1,7.93,12.8,62.0,0.11,0.12,-0.01,1.40,3.30,2.07,1.17,4.86,Matches
Thiago Silva\Thiago-Silva,br BRA,DF,36-167,16.2,83.5,89.2,93.6,1827.8,564.4,22.5,23.5,96.1,44.8,46.3,96.8,15.7,18.6,84.4,0.00,0.01,-0.01,0.19,5.56,0.25,0.00,4.07,Matches
Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,26-306,16.0,76.1,83.0,91.6,1486.7,347.9,29.7,31.8,93.5,34.2,36.1,94.6,11.2,13.5,82.9,0.06,0.09,-0.03,1.06,8.19,1.06,0.00,7.69,Matches
Kurt Zouma\Kurt-Zouma,fr FRA,DF,26-132,16.0,68.6,75.5,90.9,1555.6,389.4,16.2,17.4,93.2,38.8,40.9,94.8,13.4,16.5,81.1,0.00,0.00,0.00,0.06,4.63,0.13,0.00,3.00,Matches
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,31-192,15.6,74.3,85.6,86.8,1341.0,472.9,28.8,31.2,92.6,39.0,42.7,91.3,5.64,9.55,59.1,0.06,0.07,-0.01,0.96,5.83,0.90,0.19,4.94,Matches
Jorginho\Jorginho,it ITA,MF,29-078,14.0,68.7,77.1,89.1,1258.8,295.2,30.5,33.2,91.8,29.5,32.2,91.6,7.64,10.0,76.4,0.07,0.10,-0.03,1.07,6.86,0.86,0.00,4.79,Matches
Antonio Rüdiger\Antonio-Rudiger,de GER,DF,28-005,12.0,72.2,78.7,91.7,1536.8,405.7,19.7,20.1,97.9,40.7,41.9,97.0,11.2,15.4,72.4,0.00,0.02,-0.02,0.17,5.50,0.33,0.08,2.83,Matches
Tammy Abraham\Tammy-Abraham,eng ENG,FW,23-157,11.3,13.0,18.9,68.7,180.7,28.9,7.96,10.3,77.6,3.45,5.49,62.9,0.80,1.33,60.0,0.09,0.08,0.01,0.71,1.06,0.18,0.00,0.97,Matches
Kai Havertz\Kai-Havertz,de GER,MFFW,21-270,11.0,42.1,49.5,85.0,621.5,100.6,24.6,27.3,90.3,13.1,15.3,85.7,2.73,3.55,76.9,0.18,0.12,0.06,1.18,2.91,1.18,0.18,2.91,Matches
Hakim Ziyech\Hakim-Ziyech,ma MAR,FWMF,27-354,8.7,45.2,60.8,74.3,787.7,213.3,21.7,25.7,84.4,16.7,20.1,82.9,5.52,12.2,45.3,0.34,0.28,0.07,2.64,4.02,2.30,0.46,5.29,Matches
Christian Pulisic\Christian-Pulisic,us USA,FWMF,22-171,11.2,26.5,34.6,76.5,417.7,101.4,14.9,17.9,83.5,9.29,12.4,74.8,1.79,2.68,66.7,0.09,0.13,-0.04,1.07,1.43,2.23,0.09,3.57,Matches
Andreas Christensen\Andreas-Christensen,dk DEN,DF,24-332,9.1,67.7,72.7,93.1,1455.5,362.4,18.6,19.8,93.9,37.9,39.7,95.6,10.9,12.7,85.3,0.00,0.00,0.00,0.11,2.31,0.00,0.00,2.97,Matches
Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FWDF,20-121,9.1,44.1,54.3,81.2,743.6,175.5,25.1,28.4,88.4,13.4,16.0,83.6,5.05,8.02,63.0,0.22,0.25,-0.03,2.64,1.87,2.86,0.99,4.29,Matches
Olivier Giroud\Olivier-Giroud,fr FRA,FW,34-159,7.9,19.0,25.2,75.4,227.6,27.7,13.5,17.2,78.7,3.04,4.43,68.6,0.76,0.76,100.0,0.00,0.09,-0.09,0.89,0.76,0.13,0.00,0.76,Matches
Marcos Alonso\Marcos-Alonso,es ESP,DF,30-070,6.8,51.2,61.6,83.1,861.2,315.9,25.4,28.4,89.6,21.6,24.3,89.1,3.68,6.62,55.6,0.00,0.07,-0.07,1.03,1.76,0.74,0.15,5.29,Matches
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,26-156,4.0,26.5,34.5,76.8,768.3,409.3,6.00,6.25,96.0,10.8,10.8,100.0,9.75,17.5,55.7,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,Matches
Willy Caballero\Willy-Caballero,ar ARG,GK,39-161,1.0,24.0,26.0,92.3,496.0,302.0,8.00,8.00,100.0,13.0,13.0,100.0,3.00,5.00,60.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
