Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
Mason Mount\Mason-Mount,eng ENG,MFFW,22-057,23.6,58.6,51.9,6.74,0.89,0.25,6.74,2.75,1.74,4.41,1.27,2.12,0.21,44.0,6.44,8.22,6.74,49.4,1.27,0.47,0.25,48.6,0.21,0.51,1.14,2.29,Matches
Edouard Mendy\Edouard-Mendy,sn SEN,GK,29-007,22.0,33.7,26.6,7.05,1.14,0.00,2.14,0.91,0.00,0.00,0.00,0.00,0.00,22.8,1.00,9.91,1.73,27.7,0.00,0.00,3.77,28.5,0.05,0.68,0.14,0.00,Matches
Timo Werner\Timo-Werner,de GER,FW,25-002,21.5,30.8,30.0,0.88,0.05,0.09,4.23,0.51,1.72,0.05,0.00,0.00,0.00,24.2,3.91,2.74,5.35,23.8,1.16,0.19,0.05,23.7,0.09,0.42,0.88,1.77,Matches
N'Golo Kanté\NGolo-Kante,fr FRA,MF,29-344,20.0,63.5,62.6,0.90,0.75,0.00,7.60,1.90,0.35,0.00,0.00,0.00,0.00,48.6,7.45,7.45,8.40,51.9,2.35,0.15,0.20,55.1,0.10,0.75,1.30,1.15,Matches
Ben Chilwell\Ben-Chilwell,eng ENG,DF,24-077,18.5,75.6,63.9,11.7,1.78,0.00,6.92,1.89,4.00,1.30,0.81,0.38,0.00,46.6,12.3,16.8,56.5,6.54,2.81,8.59,0.05,59.7,0.16,1.35,1.08,2.54,Matches
Reece James\Reece-James,eng ENG,DF,21-090,17.9,75.6,66.9,8.66,0.95,0.06,7.09,2.68,4.41,0.56,0.11,0.28,0.06,49.9,13.9,11.7,6.59,58.9,1.90,7.15,0.28,63.3,0.22,0.95,1.06,1.96,Matches
Thiago Silva\Thiago-Silva,br BRA,DF,36-167,16.2,89.2,87.3,1.91,1.73,0.12,4.38,2.72,0.06,0.00,0.00,0.00,0.00,73.3,6.48,9.38,9.81,74.9,2.90,0.19,0.43,83.5,0.19,0.49,0.49,0.43,Matches
Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,26-306,16.0,83.0,81.7,1.31,1.19,0.19,6.88,2.69,0.38,0.00,0.00,0.00,0.00,70.1,6.31,6.63,3.19,78.4,0.88,0.06,0.19,76.1,0.19,0.75,1.00,0.88,Matches
Kurt Zouma\Kurt-Zouma,fr FRA,DF,26-132,16.0,75.5,74.1,1.38,1.19,0.00,6.19,3.44,0.00,0.00,0.00,0.00,0.00,59.8,5.88,9.88,13.1,56.1,3.13,0.19,0.19,68.6,0.06,0.88,0.44,0.25,Matches
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,31-192,15.6,85.6,77.8,7.82,1.41,0.13,4.68,0.58,1.03,0.00,0.00,0.00,0.00,62.1,11.9,11.7,7.12,66.5,3.72,6.41,0.38,74.3,0.13,1.15,1.15,1.47,Matches
