Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
Mason Mount\Mason-Mount,eng ENG,MFFW,22-057,23.6,4.83,4.82,2.58,1.57,0.30,0.17,0.17,0.04,0.42,0.42,0.08,0.17,0.04,0.08,0.04,0.00,0.00,Matches
Edouard Mendy\Edouard-Mendy,sn SEN,GK,29-007,22.0,0.09,0.09,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Timo Werner\Timo-Werner,de GER,FW,25-002,21.5,2.79,2.80,1.81,0.00,0.23,0.33,0.37,0.05,0.65,0.65,0.33,0.00,0.09,0.05,0.14,0.05,0.00,Matches
N'Golo Kanté\NGolo-Kante,fr FRA,MF,29-344,20.0,1.85,1.85,1.65,0.00,0.05,0.05,0.00,0.10,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ben Chilwell\Ben-Chilwell,eng ENG,DF,24-077,18.5,1.95,1.94,1.19,0.49,0.00,0.11,0.11,0.05,0.32,0.32,0.32,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Reece James\Reece-James,eng ENG,DF,21-090,17.9,2.63,2.63,2.12,0.11,0.11,0.06,0.17,0.06,0.28,0.28,0.17,0.06,0.00,0.00,0.06,0.00,0.00,Matches
Thiago Silva\Thiago-Silva,br BRA,DF,36-167,16.2,0.74,0.74,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,26-306,16.0,2.00,2.00,1.81,0.00,0.06,0.00,0.13,0.00,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kurt Zouma\Kurt-Zouma,fr FRA,DF,26-132,16.0,0.38,0.37,0.31,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,31-192,15.6,1.73,1.73,1.67,0.00,0.00,0.00,0.00,0.06,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jorginho\Jorginho,it ITA,MF,29-078,14.0,2.36,2.36,2.14,0.00,0.07,0.00,0.00,0.14,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.00,Matches
