Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
Mason Mount\Mason-Mount,eng ENG,MFFW,22-057,23.6,2.37,1.61,0.97,0.97,0.42,0.51,2.03,25.0,1.53,20.8,6.36,30.6,4.83,9.66,6.27,1.44,0.04,0.00,1.40,1.23,3.60,0.55,0.00,Matches
Edouard Mendy\Edouard-Mendy,sn SEN,GK,29-007,22.0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.0,0.05,0.14,0.00,0.0,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,Matches
Timo Werner\Timo-Werner,de GER,FW,25-002,21.5,1.02,0.60,0.33,0.51,0.19,0.37,1.53,24.2,1.16,12.7,3.77,29.8,2.65,4.84,5.16,0.88,0.00,0.00,0.88,0.23,1.26,0.14,0.00,Matches
N'Golo Kanté\NGolo-Kante,fr FRA,MF,29-344,20.0,3.75,2.35,1.80,1.75,0.20,1.25,2.70,46.3,1.45,19.5,6.80,34.9,8.85,8.15,2.50,2.45,0.20,0.00,2.25,2.65,6.40,1.10,0.00,Matches
Ben Chilwell\Ben-Chilwell,eng ENG,DF,24-077,18.5,1.95,1.30,0.76,0.92,0.27,0.54,1.51,35.7,0.97,11.3,3.84,34.0,4.54,4.81,1.95,2.65,0.16,0.00,2.49,0.86,2.81,2.49,0.00,Matches
Reece James\Reece-James,eng ENG,DF,21-090,17.9,2.57,1.40,1.62,0.78,0.17,0.73,1.56,46.4,0.84,13.6,3.74,27.6,6.03,5.87,1.68,2.23,0.28,0.00,1.96,1.51,4.08,1.84,0.00,Matches
Thiago Silva\Thiago-Silva,br BRA,DF,36-167,16.2,1.23,0.74,0.86,0.31,0.06,0.56,0.86,64.3,0.31,4.57,1.85,40.5,1.91,2.41,0.25,1.23,0.68,0.06,0.56,0.93,2.16,4.94,0.06,Matches
Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,26-306,16.0,2.44,1.63,1.06,1.25,0.13,0.38,1.50,25.0,1.13,15.7,5.00,31.9,4.63,8.19,2.88,0.75,0.06,0.00,0.69,1.13,3.56,0.63,0.00,Matches
Kurt Zouma\Kurt-Zouma,fr FRA,DF,26-132,16.0,0.88,0.50,0.44,0.38,0.06,0.31,0.44,71.4,0.13,3.94,1.56,39.7,1.81,2.00,0.13,1.19,0.56,0.00,0.63,0.88,1.75,5.75,0.00,Matches
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,31-192,15.6,1.99,1.03,0.96,0.64,0.38,0.71,1.22,57.9,0.51,14.0,4.23,30.1,6.15,5.45,2.44,1.67,0.26,0.00,1.41,1.15,3.14,3.97,0.06,Matches
Jorginho\Jorginho,it ITA,MF,29-078,14.0,2.86,1.79,1.50,1.00,0.36,1.07,3.07,34.9,2.00,19.8,7.43,37.5,7.50,10.1,2.14,1.79,0.21,0.00,1.57,1.86,4.71,1.00,0.00,Matches
Antonio Rüdiger\Antonio-Rudiger,de GER,DF,28-005,12.0,1.50,0.75,0.92,0.50,0.08,0.75,1.00,75.0,0.25,6.58,2.92,44.3,3.67,2.58,0.33,1.08,0.75,0.00,0.33,0.75,2.25,4.25,0.00,Matches
