Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
Mason Mount\Mason-Mount,eng ENG,MFFW,22-057,23.6,71.2,1.14,8.77,34.7,33.1,4.11,64.6,1.57,2.42,64.9,1.65,0.25,48.9,266.9,144.6,7.80,2.67,1.02,1.57,1.65,60.0,50.0,83.5,7.71,Matches
Edouard Mendy\Edouard-Mendy,sn SEN,GK,29-007,22.0,35.2,29.9,35.0,0.32,0.00,0.00,28.3,0.05,0.05,100.0,0.05,0.00,20.1,80.9,31.9,0.00,0.00,0.00,0.05,0.00,21.0,20.9,99.6,0.00,Matches
Timo Werner\Timo-Werner,de GER,FW,25-002,21.5,43.0,0.19,3.77,17.8,24.8,6.93,42.1,1.07,2.65,40.4,1.30,0.09,29.4,189.4,117.6,5.58,1.77,2.05,2.60,1.72,51.3,34.0,66.3,9.44,Matches
N'Golo Kanté\NGolo-Kante,fr FRA,MF,29-344,20.0,75.7,2.70,20.7,45.2,14.5,0.50,74.8,1.00,1.30,76.9,1.00,0.05,46.9,221.6,118.2,4.25,1.35,0.05,0.85,1.25,54.0,50.8,94.1,1.50,Matches
Ben Chilwell\Ben-Chilwell,eng ENG,DF,24-077,18.5,87.5,2.49,23.3,40.2,30.0,2.49,76.5,0.59,1.08,55.0,0.59,0.00,55.0,305.0,188.4,7.84,2.65,0.38,1.08,1.03,65.4,59.4,90.9,3.51,Matches
Reece James\Reece-James,eng ENG,DF,21-090,17.9,87.0,3.35,21.6,39.1,31.1,2.46,78.3,1.51,1.96,77.1,1.56,0.00,56.1,244.8,132.3,7.60,2.07,1.01,0.34,1.06,65.4,60.2,92.1,4.36,Matches
Thiago Silva\Thiago-Silva,br BRA,DF,36-167,16.2,98.1,11.4,45.7,57.6,2.65,0.86,96.3,0.12,0.19,66.7,0.12,0.00,69.1,375.7,251.4,7.53,0.80,0.00,0.31,0.12,76.9,76.4,99.4,0.06,Matches
Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,26-306,16.0,92.3,1.31,16.5,62.4,20.1,0.88,91.2,2.00,2.50,80.0,2.00,0.06,71.8,391.8,203.6,9.25,2.50,0.25,0.88,1.13,82.4,78.1,94.7,2.19,Matches
Kurt Zouma\Kurt-Zouma,fr FRA,DF,26-132,16.0,85.5,12.4,44.7,44.0,2.00,1.19,84.3,0.19,0.25,75.0,0.19,0.00,56.3,278.4,153.9,3.13,0.31,0.00,0.19,0.19,65.6,64.5,98.3,0.25,Matches
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,31-192,15.6,96.0,5.83,35.1,46.5,17.9,1.47,88.3,0.32,0.51,62.5,0.32,0.00,55.3,212.4,130.0,4.29,1.47,0.00,0.32,0.38,69.4,67.0,96.6,1.22,Matches
Jorginho\Jorginho,it ITA,MF,29-078,14.0,87.0,3.50,25.9,53.9,12.4,1.00,85.6,0.50,0.86,58.3,0.64,0.00,57.4,235.2,127.5,4.36,1.07,0.07,0.57,0.71,66.6,65.1,97.7,0.64,Matches
Antonio Rüdiger\Antonio-Rudiger,de GER,DF,28-005,12.0,87.2,11.2,42.3,46.3,3.50,0.92,85.9,0.17,0.25,66.7,0.17,0.00,63.5,274.3,145.8,3.83,0.58,0.00,0.08,0.00,70.7,69.1,97.8,0.00,Matches
Tammy Abraham\Tammy-Abraham,eng ENG,FW,23-157,11.3,30.4,1.68,3.27,14.3,14.3,5.66,29.6,0.53,1.68,31.6,0.53,0.18,15.4,62.2,21.9,1.06,0.44,0.27,2.30,0.97,42.4,21.8,51.4,8.41,Matches
Kai Havertz\Kai-Havertz,de GER,MFFW,21-270,11.0,62.9,1.55,9.09,32.5,26.1,3.45,61.9,1.00,2.55,39.3,1.18,0.18,46.7,235.4,113.4,5.36,2.73,0.64,2.36,2.45,61.4,49.5,80.7,9.00,Matches
