Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Mason Mount\Mason-Mount,eng ENG,MFFW,22-057,26,2127,82,87.5,23.6,1.02,87,0.85,0.08,14,0.04,1.69,1.57,1.02,0.55,+0.55,-0.64,1.61,0.93,0.68,+0.67,+0.09,Matches
Edouard Mendy\Edouard-Mendy,sn SEN,GK,29-007,22,1980,90,81.5,22.0,1.00,90,1.00,0.00,,0.05,1.77,1.41,0.73,0.68,+0.68,+0.28,1.51,0.72,0.79,+0.79,+0.66,Matches
Timo Werner\Timo-Werner,de GER,FW,25-002,26,1932,74,79.5,21.5,1.02,85,0.65,0.19,18,0.05,1.77,1.86,0.93,0.93,+0.93,+1.47,1.60,0.87,0.73,+0.73,+0.34,Matches
N'Golo Kanté\NGolo-Kante,fr FRA,MF,29-344,23,1802,78,74.2,20.0,1.00,87,0.85,0.15,18,0.05,1.74,1.60,1.10,0.50,+0.50,-0.50,1.51,1.01,0.51,+0.50,-0.62,Matches
Ben Chilwell\Ben-Chilwell,eng ENG,DF,24-077,20,1666,83,68.6,18.5,1.08,83,0.86,0.00,,0.22,1.65,1.51,0.97,0.54,+0.54,-0.28,1.52,0.88,0.65,+0.65,-0.06,Matches
Reece James\Reece-James,eng ENG,DF,21-090,21,1610,77,66.3,17.9,0.95,90,0.95,0.22,20,0.17,1.71,1.45,1.06,0.39,+0.39,-0.71,1.51,0.90,0.61,+0.61,-0.15,Matches
Thiago Silva\Thiago-Silva,br BRA,DF,36-167,17,1457,86,60.0,16.2,1.05,86,0.93,0.00,,0.06,1.65,1.60,0.99,0.62,+0.62,-0.03,1.56,0.83,0.73,+0.73,+0.16,Matches
Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,26-306,22,1440,65,59.3,16.0,1.06,80,0.56,0.31,17,0.13,1.73,1.00,1.06,-0.06,-0.06,-1.70,1.41,0.88,0.53,+0.53,-0.32,Matches
Kurt Zouma\Kurt-Zouma,fr FRA,DF,26-132,16,1440,90,59.3,16.0,1.00,90,1.00,0.00,,0.50,1.56,1.81,1.13,0.69,+0.69,+0.14,1.61,1.08,0.53,+0.53,-0.33,Matches
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,31-192,17,1401,82,57.7,15.6,0.96,90,0.96,0.13,26,0.64,2.00,1.60,0.58,1.03,+1.03,+0.94,1.47,0.69,0.78,+0.78,+0.28,Matches
