Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Brenden Aaronson\Brenden-Aaronson,us USA,MFFW,Philadelphia,18,2000,28,1706,61,55.8,19.0,25,66,2,3,16,6,1.63,27,24,+3,+0.16,-0.17,25.8,20.2,+5.6,+0.30,-0.20,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,Seattle,27,1991,18,1067,59,34.9,11.9,11,91,11,7,10,8,1.56,15,20,-5,-0.42,-0.78,13.5,16.4,-2.9,-0.25,-0.49,Matches
3,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado,24,1994,22,1980,90,64.7,22.0,22,90,22,0,,0,1.55,39,34,+5,+0.23,+1.06,34.7,35.3,-0.5,-0.02,+0.42,Matches
4,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Columbus,24,1994,1,90,90,2.9,1.0,1,90,1,0,,6,0.00,0,2,-2,-2.00,-1.82,0.9,1.7,-0.8,-0.78,-0.67,Matches
5,David Accam\David-Accam,gh GHA,FW,Philadelphia,28,1990,8,338,42,11.0,3.8,4,75,1,4,10,2,2.13,7,3,+4,+1.07,+0.93,6.1,2.1,+4.0,+1.06,+0.76,Matches
6,David Accam\David-Accam,gh GHA,FWMF,Columbus,28,1990,15,667,44,21.8,7.4,8,66,2,7,20,3,0.93,11,14,-3,-0.40,-0.22,9.9,11.3,-1.5,-0.20,-0.09,Matches
7,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,25,1993,26,2073,80,67.7,23.0,23,86,19,3,30,0,1.37,37,30,+7,+0.30,+0.21,34.1,29.5,+4.6,+0.20,+0.10,Matches
8,Danilo Acosta\Danilo-Acosta,us USA,DF,Orlando City,21,1997,8,667,83,21.8,7.4,8,83,5,0,,2,0.88,10,13,-3,-0.40,-0.22,6.0,10.0,-4.0,-0.54,-0.73,Matches
9,Kellyn Acosta\Kellyn-Acosta,us USA,MF,Colorado,23,1995,31,2615,84,85.5,29.1,30,86,23,1,34,0,1.23,52,52,0,0.00,+1.01,43.8,47.7,-3.9,-0.14,+0.25,Matches
10,Luciano Acosta\Luciano-Acosta,ar ARG,MFFW,D.C. United,24,1994,31,2122,68,69.3,23.6,22,89,16,9,18,1,1.34,27,27,0,0.00,-0.38,27.1,32.6,-5.5,-0.23,+0.24,Matches
11,Mo Adams\Mo-Adams,eng ENG,DFMF,Atlanta,22,1996,4,93,23,3.0,1.0,1,48,0,3,15,7,2.00,6,5,+1,+0.97,+0.54,3.3,2.9,+0.4,+0.37,-0.05,Matches
12,Mo Adams\Mo-Adams,eng ENG,MF,Chicago,22,1996,10,487,49,15.9,5.4,5,71,2,5,26,4,1.60,9,7,+2,+0.37,+0.16,5.9,4.8,+1.0,+0.22,-0.03,Matches
