Rank,Player,College,Position
1,Frankie Amaya , UCLA,M 
2,Siad Haji ,VCU ,F 
3,Santiago Patino ,Florida International, F
4,Callum Montgomery ,Charlotte ,D 
5,Andre Shinyashiki ,Denver , F
6,Griffin Dorsey,Indiana , M/F
7,Dayne St. Clair,Maryland ,GK 
8,Sam Junqua, California, D
9,Tajon Buchanan, Syracuse, F
10,John Nelson,North Carolina , D
11,DeJuan Jones, Michigan State, F
12,Luis Barraza , Marquette, GK
13,Logan Gdula , Wake Forest, D
14,Akeem Ward , Creighton, D
15,Chase Gasper ,Maryland , D
16,Roy Boateng, UC Davis,D 
17,Samuel Brown, Harvard, M
18,JJ Williams  , Kentucky, F
19,Emil Cuello , SMU, M
20,Tucker Bone ,Air Force ,M 
21,Kamar Marriott ,FGCU , D
22,Janos Loebe,Fordham , F
23,Ryan Sierakowski,Michigan State , F
24,Anderson Asiedu,UCLA ,M 
25,Sean Nealis , Hofstra,D 
26,Sergio Rivas , Seattle, M
27,Kamal Miller, Syracuse,D 
28,Marcello Borges , Michigan, D
29,Tommy McCabe, Notre Dame, M
30,Jimmy Hague,Michigan State , GK
31,Hassani Dotson,Oregon State ,M 
32,Rece Buckmaster , Indiana,D 
33,Andrew Samuels , Maryland, D/M
34,Amar Sejdic, Maryland, M
35,Brendan McDonough , Georgetown,D 
36,Don Tchilao , Oregon State, M/F
37,Ben Lundt ,Akron ,GK 
38,Tommy Madden , Charlotte, M
39,Adam Wilson ,Louisville ,M 
40,Peter-Lee Vassell , Harbor View FC, M
41,Kyle Coffee, Washington, F
42,Jacob Hauser-Ramsey ,Connecticut , D
43,Abdi Mohamed , Akron,D 
44,Joel Rydstrand , Creighton,M 
45,Camden Riley,Pacific , M
46,Mamadi Camara, Simon Fraser, M
47,Lennart Hein, Saint Louis, D
48,Amir Bashti ,Stanford , M
49,Rashawn Dally,Quinnipiac,M 
50,Nathan Aune,Seattle, D
51,Pass ,,
52,Pass ,,
53,Ebenezer Ackon,Bowling Green,D 
54,Patrick Bunk-Andersen, Clemson, D
55,Grant Stoneman,Loyola-Chicago,D 
56,Brad Dunwell,Wake Forest(m) ,M 
57,Pass,,
58,Pass ,,
59,Scott Devoss , Denver(m), D
60,Pass ,,
61,Pass ,,
62,Geo Alves , Vermont(m),M 
63,Eduvie Ikoba,Dartmouth(m), F
64,Javi Perez, Pittsburgh(m),
65,Pass ,,
66,Justin Donawa, Darmouth(m),
67,Pass ,,
68,Aleks Berkholds , San Diego State(m), D
69,Franky Martinez ,Massachusetts-Lowell(m), D
70,Rashid Nuhu ,Fordham(m),GK 
71,Francesco Moore ,Indiana(m),M 
72,Shinya Kadono ,California(m), F
73,Kevin Mendoza , Liberty(m), M
74,Pass ,,
75,Kevin Rodriguez ,Northern Illinois(m),
76,Robbie Mertz, Michigan(m),
77,Mark Forrest ,Lehigh(m),F 
78,Sean McSherry,Princeton(m),D 
79,Pass ,,
80,Pass ,,
81,Pass,,
82,Pass ,,
83,Pass,,
84,Joey Piatczyc ,West Virginia(m), M
85,Pass,,
86,Pass ,,
87,Sam Ebstein ,California(m),
88,Dylan Castenheira ,Columbia(m),
89,Pass ,,
90,Rafael Mentzingen , Valparaiso, M
91,Pass ,,
92,Pass ,,
93,Pass ,,
94,Mitchell Osmond ,Rio Grande ,D 
95,David Zalzman , Memphis,M 
96,Pass ,,
