"","","","","","","","","","Goals","Goals","Goals","Goals","Goals","Expected","Expected","Expected","Expected","Launched","Launched","Launched","Passes","Passes","Passes","Passes","Goal Kicks","Goal Kicks","Goal Kicks","Crosses","Crosses","Crosses","Sweeper","Sweeper","Sweeper",""
"1","Rk","Player","Nation","Pos","Squad","Age","Born","90s","GA","PKA","FK","CK","OG","PSxG","PSxG/SoT","PSxG+/-","/90","Cmp","Att","Cmp%","Att","Thr","Launch%","AvgLen","Att","Launch%","AvgLen","Opp","Stp","Stp%","#OPA","#OPA/90","AvgDist","Matches"
"2","1","Jeff Attinella","us USA","GK","Portland","31","1988","1.0","3","0","0","0","0","3.0","0.48","0.0","-0.04","6","13","46.2","27","5","33.3","36.7","6","66.7","51.5","3","0","0.0","0","0.00","11.6","Matches"
"3","2","Joe Bendik","us USA","GK","Philadelphia","30","1989","1.0","2","0","0","0","0","1.0","0.33","-1.0","-0.99","7","22","31.8","19","1","73.7","54.4","8","100.0","65.6","11","0","0.0","0","0.00","8.7","Matches"
"4","3","David Bingham","us USA","GK","LA Galaxy","30","1989","18.0","35","3","2","3","0","28.8","0.31","-6.2","-0.34","119","296","40.2","332","68","59.3","46.5","143","69.2","52.4","159","18","11.3","4","0.22","11.8","Matches"
"5","4","Andre Blake","jm JAM","GK","Philadelphia","29","1990","21.0","18","1","2","3","0","23.8","0.29","+5.8","+0.27","153","411","37.2","465","86","57.2","44.0","168","86.3","60.2","225","18","8.0","7","0.33","13.3","Matches"
"6","5","Alex Bono","us USA","GK","Toronto FC","25","1994","3.0","0","0","0","0","0","2.3","0.14","+2.3","+0.75","23","70","32.9","85","14","60.0","44.9","22","86.4","57.6","31","3","9.7","2","0.67","12.4","Matches"
"7","6","Evan Bush","us USA","GK","Vancouver","33","1986","8.0","10","1","0","0","0","10.1","0.30","+0.1","+0.02","55","114","48.2","213","37","38.0","36.2","51","64.7","46.4","94","6","6.4","5","0.63","13.0","Matches"
"8","7","Steve Clark","us USA","GK","Portland","33","1986","20.0","26","1","0","6","0","29.0","0.31","0.0","0.00","165","358","46.1","598","106","38.5","36.1","195","65.6","47.4","263","21","8.0","8","0.40","11.4","Matches"
"9","8","Maxime Crépeau","ca CAN","GK","Vancouver","25","1994","3.6","10","1","0","3","0","7.1","0.33","-2.9","-0.80","37","65","56.9","98","13","45.9","37.6","30","66.7","48.2","34","1","2.9","2","0.55","12.1","Matches"
"10","9","Mario Daniel Vega","ar ARG","GK","San Jose","35","1984","12.0","37","3","0","4","2","28.2","0.34","-6.8","-0.56","63","149","42.3","311","39","38.3","34.4","86","34.9","32.5","69","8","11.6","0","0.00","12.1","Matches"
"11","10","Clément Diop","sn SEN","GK","Montreal","26","1993","20.0","36","2","0","6","1","36.8","0.33","+1.8","+0.09","78","195","40.0","446","106","32.1","32.7","156","33.3","33.3","215","11","5.1","8","0.40","13.0","Matches"
"12","11","Bobby Edwards","us USA","GK","FC Cincinnati","24","1995","2.0","3","1","0","0","0","3.4","0.52","+0.4","+0.22","13","31","41.9","22","5","54.5","38.4","20","95.0","60.1","19","0","0.0","1","0.50","13.2","Matches"
"13","12","Matt Freese","us USA","GK","Philadelphia","21","1998","1.0","0","0","0","0","0","0.1","0.11","+0.1","+0.11","7","24","29.2","18","1","94.4","60.1","7","100.0","62.1","13","1","7.7","0","0.00","11.5","Matches"
"14","13","Stefan Frei","ch SUI","GK","Seattle","33","1986","22.0","23","2","1","4","1","23.5","0.28","+1.5","+0.07","144","267","53.9","617","99","35.7","35.4","143","32.9","31.7","175","20","11.4","12","0.55","13.6","Matches"
"15","14","Pedro Gallese","pe PER","GK","Orlando City","29","1990","19.0","20","1","0","4","1","17.8","0.23","-1.2","-0.06","80","184","43.5","316","71","34.5","33.5","155","48.4","38.0","211","13","6.2","9","0.47","14.1","Matches"
"16","15","Jesse Gonzalez","mx MEX","GK","FC Dallas","24","1995","2.0","2","0","0","0","0","1.6","0.32","-0.4","-0.19","5","14","35.7","45","11","24.4","32.2","17","17.6","23.1","12","0","0.0","1","0.50","12.4","Matches"
"17","16","Brad Guzan","us USA","GK","Atlanta","35","1984","23.0","30","0","1","4","0","27.5","0.32","-2.5","-0.11","202","373","54.2","786","103","42.2","36.5","144","28.5","30.5","143","10","7.0","16","0.70","14.9","Matches"
"18","17","Bill Hamid","us USA","GK","D.C. United","29","1990","17.0","32","2","0","7","1","25.9","0.29","-5.1","-0.30","72","219","32.9","354","58","39.5","36.8","130","60.8","44.9","175","11","6.3","3","0.18","12.6","Matches"
"19","18","Thomas Hasal","ca CAN","GK","Vancouver","20","1999","8.4","15","1","0","0","0","11.7","0.25","-2.3","-0.27","60","142","42.3","186","38","46.2","39.2","93","60.2","43.7","94","3","3.2","2","0.24","11.0","Matches"
"20","19","Clint Irwin","us USA","GK","Colorado","30","1989","4.0","8","0","0","3","0","7.2","0.30","-0.8","-0.20","22","50","44.0","96","24","43.8","36.4","25","32.0","32.0","29","4","13.8","6","1.50","16.1","Matches"
"21","20","Aljaž Ivacic","si SVN","GK","Portland","26","1993","2.0","3","0","0","1","0","2.4","0.33","-0.6","-0.30","9","35","25.7","53","2","52.8","41.9","15","46.7","41.8","16","2","12.5","3","1.50","15.4","Matches"
"22","21","David Jensen","dk DEN","GK","NY Red Bulls","27","1992","10.3","15","0","1","2","1","11.4","0.32","-2.6","-0.25","61","178","34.3","180","35","66.1","48.2","68","86.8","57.3","80","5","6.3","10","0.97","15.4","Matches"
"23","22","Sean Johnson","us USA","GK","NYCFC","30","1989","23.0","25","3","0","1","0","28.9","0.27","+3.9","+0.17","110","291","37.8","615","92","33.5","34.5","157","54.1","42.4","185","10","5.4","9","0.39","12.8","Matches"
"24","23","Jonathan Klinsmann","us USA","GK","LA Galaxy","22","1997","4.0","11","1","0","2","0","9.1","0.31","-1.9","-0.47","27","71","38.0","73","16","67.1","47.7","26","84.6","62.5","28","2","7.1","1","0.25","11.5","Matches"
"25","24","Brad Knighton","us USA","GK","New England","34","1985","1.0","1","0","0","0","0","1.9","0.32","+0.9","+0.93","12","22","54.5","24","9","75.0","54.8","8","50.0","46.6","13","1","7.7","1","1.00","16.3","Matches"
"26","25","Kenneth Kronholm","de GER","GK","Chicago","34","1985","5.0","8","0","0","2","0","6.8","0.49","-1.2","-0.23","26","49","53.1","115","16","31.3","32.6","28","46.4","39.6","40","3","7.5","1","0.20","12.3","Matches"
