1,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches,Nation,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
2,1,Übeyd Adiyaman,tr TUR,GK,Gençlerbirligi,23-102,1997,1,1,90,1,6,6,8,3,0.375,0,0,1,0,0,1,1,0,0,Matches,tr,TUR,6,6,8,3,0.375,0,0,1,0,0,1,1,0,0
3,2,Gökhan Akkan,tr TUR,GK,Rizespor,26-011,1995,17,17,"1,485",16.5,30,1.82,91,65,0.703,5,6,6,3,17.6,4,3,1,0,Matches,tr,TUR,1.818181818,0.11030303,5.515151515,3.939393939,0.042606061,0.303030303,0.363636364,0.363636364,0.181818182,1.066666667,0.242424242,0.181818182,0.060606061,0
4,3,Dogan Alemdar,tr TUR,GK,Kayserispor,18-075,2002,5,5,450,5,5,1,20,17,0.8,2,1,2,3,60,2,1,1,0,Matches,tr,TUR,1,0.2,4,3.4,0.16,0.4,0.2,0.4,0.6,12,0.4,0.2,0.2,0
5,4,Akin Alkan,tr TUR,GK,Hatayspor,31-170,1989,2,1,136,1.5,5,3.31,12,9,0.75,0,1,0,0,0,2,2,0,0,Matches,tr,TUR,3.308823529,2.190441176,7.941176471,5.955882353,0.496323529,0,0.661764706,0,0,0,1.323529412,1.323529412,0,0
6,5,Hüseyin Altintas,tr TUR,GK,Denizlispor,26-123,1994,2,1,139,1.5,3,1.94,8,5,0.625,0,0,1,0,0,0,0,0,0,Matches,tr,TUR,1.942446043,1.256115108,5.179856115,3.237410072,0.404676259,0,0,0.647482014,0,0,0,0,0,0
7,6,Volkan Babacan,tr TUR,GK,Basaksehir,32-154,1988,7,7,630,7,16,2.29,34,20,0.588,2,2,3,1,14.3,2,2,0,0,Matches,tr,TUR,2.285714286,0.327142857,4.857142857,2.857142857,0.084,0.285714286,0.285714286,0.428571429,0.142857143,2.042857143,0.285714286,0.285714286,0,0
8,7,Altay Bayindir,tr TUR,GK,Fenerbahçe,22-273,1998,16,16,"1,440",16,18,1.13,58,45,0.741,11,2,3,5,31.3,5,3,2,0,Matches,tr,TUR,1.125,0.070625,3.625,2.8125,0.0463125,0.6875,0.125,0.1875,0.3125,1.95625,0.3125,0.1875,0.125,0
9,8,Eray Birniçan,tr TUR,GK,Konyaspor,32-176,1988,2,2,180,2,2,1,11,9,0.818,1,0,1,0,0,0,0,0,0,Matches,tr,TUR,1,0.5,5.5,4.5,0.409,0.5,0,0.5,0,0,0,0,0,0
10,9,Ruud Boffin,be BEL,GK,Antalyaspor,33-068,1987,16,16,"1,440",16,22,1.37,62,43,0.677,6,5,5,7,43.8,3,2,1,0,Matches,be,BEL,1.375,0.085625,3.875,2.6875,0.0423125,0.375,0.3125,0.3125,0.4375,2.7375,0.1875,0.125,0.0625,0
11,10,Ugurcan Çakir,tr TUR,GK,Trabzonspor,24-282,1996,16,16,"1,440",16,20,1.25,70,53,0.757,7,4,5,6,37.5,4,3,1,0,Matches,tr,TUR,1.25,0.078125,4.375,3.3125,0.0473125,0.4375,0.25,0.3125,0.375,2.34375,0.25,0.1875,0.0625,0
