"","","","","","","","","Playing Time","Playing Time","Playing Time","Playing Time","Playing Time","Starts","Starts","Starts","Subs","Subs","Subs","Team Success","Team Success","Team Success","Team Success","Team Success","Team Success",""
"1","Rk","Player","Nation","Pos","Squad","Age","Born","MP","Min","Mn/MP","Min%","90s","Starts","Mn/Start","Compl","Subs","Mn/Sub","unSub","PPM","onG","onGA","+/-","+/-90","On-Off","Matches"
"2","1","Rayane Aabid","fr FRA","MF","Hatayspor","28-360","1992","17","1,498","88","97.9","16.6","17","88","14","0","","0","1.65","24","20","+4","+0.24","+3.05","Matches"
"3","2","Yusuf Abdioglu","tr TUR","DF","Hatayspor","31-091","1989","9","708","79","46.3","7.9","8","88","7","1","1","6","1.89","10","12","-2","-0.25","-0.80","Matches"
"4","3","Vincent Aboubakar","cm CMR","FW","Besiktas","28-357","1992","13","1,066","82","69.7","11.8","12","85","6","1","45","0","1.92","27","16","+11","+0.93","-0.43","Matches"
"5","4","Yaw Ackah","gh GHA","MF","Kayserispor","21-226","1999","8","431","54","28.2","4.8","6","68","3","2","13","8","1.13","4","7","-3","-0.63","-0.05","Matches"
"6","5","Afriyie Acquah","gh GHA","MF","Yeni Mal'spor","29-008","1992","16","1,294","81","84.6","14.4","16","81","8","0","","0","1.31","20","19","+1","+0.07","+1.21","Matches"
"7","6","Kemal Ademi","ch SUI","FW","Fenerbahçe","24-356","1996","6","171","29","11.2","1.9","1","73","0","5","20","1","1.50","5","4","+1","+0.53","-0.33","Matches"
"8","7","Übeyd Adiyaman","tr TUR","GK","Gençlerbirligi","23-103","1997","1","90","90","5.9","1.0","1","90","1","0","","14","0.00","0","6","-6","-6.00","-5.56","Matches"
"9","8","Luka Adžic","rs SRB","MF","Ankaragücü","22-118","1998","11","397","36","25.9","4.4","4","74","0","7","14","0","0.55","4","8","-4","-0.91","-0.67","Matches"
"10","9","Benik Afobe","cd COD","FW","Trabzonspor","27-336","1993","15","851","57","55.6","9.5","9","80","3","6","21","0","1.53","12","11","+1","+0.11","+0.37","Matches"
"11","10","Cenk Ahmet Alkiliç","tr TUR","DF,MF","Erzurum BB","33-035","1987","9","697","77","43.0","7.7","8","86","5","1","13","9","0.78","6","17","-11","-1.42","-0.84","Matches"
"12","11","Serhat Ahmetoglu","tr TUR","FW","Fenerbahçe","18-343","2002","0","","","","","0","","0","0","","2","","","","","","","Matches"
